# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2903427
# River:                 LENA
# Station:               KRESTOVSKOYE
# Country:               RU
# Latitude (DD):       59.73
# Longitude (DD):      113.17
# Catchment area (km²):      440000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2903428
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936-05 - 1999-12
# No. of years:          64
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 23238
# DATA
YYYY-MM-DD;hh:mm; Value
1936-05-18;--:--;  16000.000
1936-05-19;--:--;  13500.000
1936-05-20;--:--;  11000.000
1936-05-21;--:--;  11600.000
1936-05-22;--:--;  11400.000
1936-05-23;--:--;  10800.000
1936-05-24;--:--;  10400.000
1936-05-25;--:--;  11800.000
1936-05-26;--:--;  13900.000
1936-05-27;--:--;  12600.000
1936-05-28;--:--;  12400.000
1936-05-29;--:--;  12900.000
1936-05-30;--:--;  13600.000
1936-05-31;--:--;  14100.000
1936-06-01;--:--;  14600.000
1936-06-02;--:--;  14400.000
1936-06-03;--:--;  14700.000
1936-06-04;--:--;  15200.000
1936-06-05;--:--;  16500.000
1936-06-06;--:--;  17600.000
1936-06-07;--:--;  19700.000
1936-06-08;--:--;  21000.000
1936-06-09;--:--;  22000.000
1936-06-10;--:--;  21200.000
1936-06-11;--:--;  19600.000
1936-06-12;--:--;  18500.000
1936-06-13;--:--;  17000.000
1936-06-14;--:--;  15000.000
1936-06-15;--:--;  14000.000
1936-06-16;--:--;  12500.000
1936-06-17;--:--;  12000.000
1936-06-18;--:--;  11500.000
1936-06-19;--:--;  11200.000
1936-06-20;--:--;  11200.000
1936-06-21;--:--;  11200.000
1936-06-22;--:--;  10600.000
1936-06-23;--:--;  10500.000
1936-06-24;--:--;  10300.000
