# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2903429
# River:                 LENA
# Station:               TABAGA
# Country:               RU
# Latitude (DD):       61.83
# Longitude (DD):      129.6
# Catchment area (km²):      897000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2903420
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1950-01 - 1992-12
# No. of years:          44
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 15706
# DATA
YYYY-MM-DD;hh:mm; Value
1950-01-01;--:--;   1880.000
1950-01-02;--:--;   1890.000
1950-01-03;--:--;   1900.000
1950-01-04;--:--;   1920.000
1950-01-05;--:--;   1930.000
1950-01-06;--:--;   1940.000
1950-01-07;--:--;   1950.000
1950-01-08;--:--;   1920.000
1950-01-09;--:--;   1890.000
1950-01-10;--:--;   1860.000
1950-01-11;--:--;   1830.000
1950-01-12;--:--;   1800.000
1950-01-13;--:--;   1780.000
1950-01-14;--:--;   1750.000
1950-01-15;--:--;   1720.000
1950-01-16;--:--;   1690.000
1950-01-17;--:--;   1660.000
1950-01-18;--:--;   1630.000
1950-01-19;--:--;   1600.000
1950-01-20;--:--;   1580.000
1950-01-21;--:--;   1570.000
1950-01-22;--:--;   1560.000
1950-01-23;--:--;   1540.000
1950-01-24;--:--;   1520.000
1950-01-25;--:--;   1510.000
1950-01-26;--:--;   1500.000
1950-01-27;--:--;   1480.000
1950-01-28;--:--;   1460.000
1950-01-29;--:--;   1450.000
1950-01-30;--:--;   1440.000
1950-01-31;--:--;   1420.000
1950-02-01;--:--;   1410.000
1950-02-02;--:--;   1390.000
1950-02-03;--:--;   1380.000
1950-02-04;--:--;   1350.000
1950-02-05;--:--;   1350.000
1950-02-06;--:--;   1340.000
1950-02-07;--:--;   1320.000
1950-02-08;--:--;   1310.000
1950-02-09;--:--;   1300.000
1950-02-10;--:--;   1280.000
1950-02-11;--:--;   1270.000
1950-02-12;--:--;   1260.000
1950-02-13;--:--;   1240.000
1950-02-14;--:--;   1230.000
1950-02-15;--:--;   1210.000
1950-02-16;--:--;   1200.000
1950-02-17;--:--;   1190.000
1950-02-18;--:--;   1180.000
1950-02-19;--:--;   1160.000
1950-02-20;--:--;   1150.000
1950-02-21;--:--;   1140.000
1950-02-22;--:--;   1130.000
1950-02-23;--:--;   1120.000
1950-02-24;--:--;   1110.000
1950-02-25;--:--;   1090.000
1950-02-26;--:--;   1080.000
1950-02-27;--:--;   1070.000
1950-02-28;--:--;   1060.000
1950-03-01;--:--;   1060.000
1950-03-02;--:--;   1050.000
1950-03-03;--:--;   1050.000
1950-03-04;--:--;   1050.000
1950-03-05;--:--;   1050.000
1950-03-06;--:--;   1040.000
1950-03-07;--:--;   1040.000
1950-03-08;--:--;   1040.000
1950-03-09;--:--;   1030.000
1950-03-10;--:--;   1030.000
1950-03-11;--:--;   1030.000
1950-03-12;--:--;   1030.000
1950-03-13;--:--;   1020.000
1950-03-14;--:--;   1020.000
1950-03-15;--:--;   1020.000
1950-03-16;--:--;   1020.000
1950-03-17;--:--;   1020.000
1950-03-18;--:--;   1020.000
1950-03-19;--:--;   1020.000
1950-03-20;--:--;   1020.000
1950-03-21;--:--;   1020.000
1950-03-22;--:--;   1010.000
1950-03-23;--:--;   1010.000
1950-03-24;--:--;   1010.000
1950-03-25;--:--;   1010.000
1950-03-26;--:--;   1010.000
1950-03-27;--:--;   1010.000
1950-03-28;--:--;   1010.000
1950-03-29;--:--;   1010.000
1950-03-30;--:--;   1000.000
1950-03-31;--:--;   1000.000
1950-04-01;--:--;    999.000
1950-04-02;--:--;    996.000
1950-04-03;--:--;    993.000
1950-04-04;--:--;    990.000
1950-04-05;--:--;    987.000
1950-04-06;--:--;    985.000
1950-04-07;--:--;    982.000
1950-04-08;--:--;    979.000
1950-04-09;--:--;    978.000
1950-04-10;--:--;    977.000
1950-04-11;--:--;    976.000
1950-04-12;--:--;    975.000
1950-04-13;--:--;    974.000
1950-04-14;--:--;    972.000
1950-04-15;--:--;    971.000
1950-04-16;--:--;    970.000
1950-04-17;--:--;    969.000
1950-04-18;--:--;    968.000
1950-04-19;--:--;    967.000
1950-04-20;--:--;    965.000
1950-04-21;--:--;    963.000
1950-04-22;--:--;    960.000
1950-04-23;--:--;    958.000
1950-04-24;--:--;    956.000
1950-04-25;--:--;    954.000
1950-04-26;--:--;    952.000
1950-04-27;--:--;    949.000
1950-04-28;--:--;    947.000
1950-04-29;--:--;    945.000
1950-04-30;--:--;    958.000
1950-05-01;--:--;    971.000
1950-05-02;--:--;    984.000
1950-05-03;--:--;    997.000
1950-05-04;--:--;   1010.000
1950-05-05;--:--;   1100.000
1950-05-06;--:--;   1180.000
1950-05-07;--:--;   1270.000
1950-05-08;--:--;   1360.000
1950-05-09;--:--;   1650.000
1950-05-10;--:--;   1930.000
1950-05-11;--:--;   2220.000
1950-05-12;--:--;   3160.000
1950-05-13;--:--;   4110.000
1950-05-14;--:--;   5060.000
1950-05-15;--:--;   6000.000
1950-05-16;--:--;   7690.000
1950-05-17;--:--;  10400.000
1950-05-18;--:--;  15600.000
1950-05-19;--:--;  20900.000
1950-05-20;--:--;  24500.000
1950-05-21;--:--;  23200.000
1950-05-22;--:--;  22600.000
1950-05-23;--:--;  24100.000
1950-05-24;--:--;  23700.000
1950-05-25;--:--;  24200.000
1950-05-26;--:--;  26100.000
1950-05-27;--:--;  34600.000
1950-05-28;--:--;  33000.000
1950-05-29;--:--;  27200.000
1950-05-30;--:--;  23900.000
1950-05-31;--:--;  22600.000
1950-06-01;--:--;  21700.000
1950-06-02;--:--;  20800.000
1950-06-03;--:--;  19600.000
1950-06-04;--:--;  18800.000
1950-06-05;--:--;  17500.000
1950-06-06;--:--;  17100.000
1950-06-07;--:--;  18400.000
1950-06-08;--:--;  20300.000
1950-06-09;--:--;  21400.000
1950-06-10;--:--;  21400.000
1950-06-11;--:--;  20800.000
1950-06-12;--:--;  20000.000
1950-06-13;--:--;  19200.000
1950-06-14;--:--;  18600.000
1950-06-15;--:--;  17900.000
1950-06-16;--:--;  17100.000
1950-06-17;--:--;  16500.000
1950-06-18;--:--;  16000.000
1950-06-19;--:--;  15700.000
1950-06-20;--:--;  15600.000
1950-06-21;--:--;  15400.000
1950-06-22;--:--;  14800.000
1950-06-23;--:--;  14200.000
1950-06-24;--:--;  13800.000
1950-06-25;--:--;  13300.000
1950-06-26;--:--;  12800.000
1950-06-27;--:--;  12100.000
1950-06-28;--:--;  11500.000
1950-06-29;--:--;  10700.000
1950-06-30;--:--;   9920.000
1950-07-01;--:--;   9270.000
1950-07-02;--:--;   2790.000
1950-07-03;--:--;   8490.000
1950-07-04;--:--;   8490.000
1950-07-05;--:--;   8650.000
1950-07-06;--:--;   8810.000
1950-07-07;--:--;   8930.000
1950-07-08;--:--;   9010.000
1950-07-09;--:--;   9350.000
1950-07-10;--:--;   9950.000
1950-07-11;--:--;  10400.000
1950-07-12;--:--;  10400.000
1950-07-13;--:--;  10100.000
1950-07-14;--:--;   9620.000
1950-07-15;--:--;   9210.000
1950-07-16;--:--;   8840.000
1950-07-17;--:--;   8490.000
1950-07-18;--:--;   8140.000
1950-07-19;--:--;   7800.000
1950-07-20;--:--;   7600.000
1950-07-21;--:--;   7380.000
1950-07-22;--:--;   7160.000
1950-07-23;--:--;   6980.000
1950-07-24;--:--;   6790.000
1950-07-25;--:--;   6700.000
1950-07-26;--:--;   6610.000
1950-07-27;--:--;   6570.000
1950-07-28;--:--;   6430.000
1950-07-29;--:--;   6240.000
1950-07-30;--:--;   5990.000
1950-07-31;--:--;   5680.000
1950-08-01;--:--;   5480.000
1950-08-02;--:--;   5390.000
1950-08-03;--:--;   5520.000
1950-08-04;--:--;   5740.000
1950-08-05;--:--;   5860.000
1950-08-06;--:--;   6090.000
1950-08-07;--:--;   7070.000
1950-08-08;--:--;   8620.000
1950-08-09;--:--;  10200.000
1950-08-10;--:--;  11100.000
1950-08-11;--:--;  11800.000
1950-08-12;--:--;  12200.000
1950-08-13;--:--;  12500.000
1950-08-14;--:--;  13000.000
1950-08-15;--:--;  13400.000
1950-08-16;--:--;  13500.000
1950-08-17;--:--;  13200.000
1950-08-18;--:--;  12800.000
1950-08-19;--:--;  12400.000
1950-08-20;--:--;  11900.000
1950-08-21;--:--;  11400.000
1950-08-22;--:--;  11300.000
