# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2903600
# River:                 ALDAN
# Station:               VERKHOYANSKIY PEREVOZ
# Country:               RU
# Latitude (DD):       63.32
# Longitude (DD):      132.02
# Catchment area (km²):      696000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2903420
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1945-05 - 1999-12
# No. of years:          55
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 19968
# DATA
YYYY-MM-DD;hh:mm; Value
1945-05-01;--:--;    302.000
1945-05-02;--:--;    306.000
1945-05-03;--:--;    326.000
1945-05-04;--:--;    345.000
1945-05-05;--:--;    350.000
1945-05-06;--:--;    375.000
1945-05-07;--:--;    401.000
1945-05-08;--:--;    448.000
1945-05-09;--:--;    494.000
1945-05-10;--:--;    559.000
1945-05-11;--:--;    661.000
1945-05-12;--:--;    762.000
1945-05-13;--:--;    906.000
1945-05-14;--:--;   1100.000
1945-05-15;--:--;   1350.000
1945-05-16;--:--;   1750.000
1945-05-17;--:--;   2270.000
1945-05-18;--:--;   2880.000
1945-05-19;--:--;   3770.000
1945-05-20;--:--;   5510.000
1945-05-21;--:--;   8620.000
1945-05-22;--:--;  11500.000
1945-05-23;--:--;  19100.000
1945-05-24;--:--;  19800.000
1945-05-25;--:--;  20200.000
1945-05-26;--:--;  19100.000
1945-05-27;--:--;  18500.000
1945-05-28;--:--;  18000.000
1945-05-29;--:--;  18700.000
1945-05-30;--:--;  19100.000
1945-05-31;--:--;  19000.000
1945-06-01;--:--;  18500.000
1945-06-02;--:--;  17800.000
1945-06-03;--:--;  17100.000
1945-06-04;--:--;  16800.000
1945-06-05;--:--;  16500.000
1945-06-06;--:--;  16200.000
1945-06-07;--:--;  16200.000
1945-06-08;--:--;  16500.000
1945-06-09;--:--;  16700.000
1945-06-10;--:--;  16700.000
1945-06-11;--:--;  16300.000
1945-06-12;--:--;  15900.000
1945-06-13;--:--;  15600.000
1945-06-14;--:--;  15400.000
1945-06-15;--:--;  15700.000
1945-06-16;--:--;  16200.000
1945-06-17;--:--;  16300.000
1945-06-18;--:--;  16100.000
1945-06-19;--:--;  15400.000
1945-06-20;--:--;  14400.000
1945-06-21;--:--;  13400.000
1945-06-22;--:--;  12800.000
1945-06-23;--:--;  12600.000
1945-06-24;--:--;  12800.000
1945-06-25;--:--;  12600.000
1945-06-26;--:--;  12100.000
1945-06-27;--:--;  11300.000
1945-06-28;--:--;  10300.000
1945-06-29;--:--;   9560.000
1945-06-30;--:--;   8810.000
1945-07-01;--:--;   8670.000
1945-07-02;--:--;   8750.000
1945-07-03;--:--;   8610.000
1945-07-04;--:--;   8110.000
1945-07-05;--:--;   8510.000
1945-07-06;--:--;   7100.000
1945-07-07;--:--;   7020.000
1945-07-08;--:--;   7670.000
1945-07-09;--:--;   8700.000
1945-07-10;--:--;   9560.000
1945-07-11;--:--;   9770.000
1945-07-12;--:--;   9920.000
1945-07-13;--:--;  10300.000
1945-07-14;--:--;  10300.000
1945-07-15;--:--;  11400.000
1945-07-16;--:--;  12100.000
1945-07-17;--:--;  12600.000
1945-07-18;--:--;  13300.000
1945-07-19;--:--;  13900.000
1945-07-20;--:--;  14400.000
1945-07-21;--:--;  14600.000
1945-07-22;--:--;  14300.000
1945-07-23;--:--;  14200.000
1945-07-24;--:--;  15000.000
1945-07-25;--:--;  16300.000
1945-07-26;--:--;  16500.000
1945-07-27;--:--;  17200.000
1945-07-28;--:--;  15300.000
1945-07-29;--:--;  12900.000
1945-07-30;--:--;  11300.000
1945-07-31;--:--;  10800.000
1945-08-01;--:--;  12000.000
1945-08-02;--:--;  11900.000
1945-08-03;--:--;  10900.000
1945-08-04;--:--;  10100.000
1945-08-05;--:--;   9440.000
1945-08-06;--:--;   8750.000
1945-08-07;--:--;   8110.000
1945-08-08;--:--;   7590.000
1945-08-09;--:--;   7070.000
1945-08-10;--:--;   6500.000
1945-08-11;--:--;   6000.000
1945-08-12;--:--;   5540.000
1945-08-13;--:--;   5100.000
1945-08-14;--:--;   4770.000
1945-08-15;--:--;   4510.000
1945-08-16;--:--;   4400.000
1945-08-17;--:--;   4420.000
1945-08-18;--:--;   4600.000
1945-08-19;--:--;   4770.000
1945-08-20;--:--;   4860.000
1945-08-21;--:--;   4730.000
1945-08-22;--:--;   4510.000
1945-08-23;--:--;   4380.000
1945-08-24;--:--;   4510.000
1945-08-25;--:--;   4880.000
1945-08-26;--:--;   5120.000
1945-08-27;--:--;   5120.000
1945-08-28;--:--;   5040.000
1945-08-29;--:--;   4990.000
1945-08-30;--:--;   4860.000
1945-08-31;--:--;   4860.000
1945-09-01;--:--;   5010.000
1945-09-02;--:--;   5190.000
1945-09-03;--:--;   5350.000
1945-09-04;--:--;   5420.000
1945-09-05;--:--;   5540.000
1945-09-06;--:--;   5490.000
1945-09-07;--:--;   5260.000
1945-09-08;--:--;   4950.000
1945-09-09;--:--;   4770.000
1945-09-10;--:--;   4510.000
1945-09-11;--:--;   4240.000
1945-09-12;--:--;   4000.000
1945-09-13;--:--;   3820.000
1945-09-14;--:--;   3640.000
1945-09-15;--:--;   3480.000
1945-09-16;--:--;   3400.000
1945-09-17;--:--;   3300.000
1945-09-18;--:--;   3200.000
1945-09-19;--:--;   3100.000
1945-09-20;--:--;   3000.000
1945-09-21;--:--;   2880.000
1945-09-22;--:--;   2830.000
1945-09-23;--:--;   2760.000
1945-09-24;--:--;   2730.000
1945-09-25;--:--;   2780.000
1945-09-26;--:--;   2800.000
1945-09-27;--:--;   2800.000
1945-09-28;--:--;   2750.000
1945-09-29;--:--;   2680.000
1945-09-30;--:--;   2630.000
1945-10-01;--:--;   2560.000
1945-10-02;--:--;   2460.000
1945-10-03;--:--;   2380.000
1945-10-04;--:--;   2320.000
1945-10-05;--:--;   2280.000
1945-10-06;--:--;   2260.000
