# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2909705
# River:                 NIZHNYAYA TUNGUSKA
# Station:               BOL'SHOY POROG
# Country:               RU
# Latitude (DD):       65.63
# Longitude (DD):      90.02
# Catchment area (km²):      447000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2909150
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1940-01 - 1990-12
# No. of years:          52
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 18628
# DATA
YYYY-MM-DD;hh:mm; Value
1940-01-01;--:--;    340.000
1940-01-02;--:--;    334.000
1940-01-03;--:--;    328.000
1940-01-04;--:--;    322.000
1940-01-05;--:--;    316.000
1940-01-06;--:--;    310.000
1940-01-07;--:--;    304.000
1940-01-08;--:--;    298.000
1940-01-09;--:--;    292.000
1940-01-10;--:--;    286.000
1940-01-11;--:--;    280.000
1940-01-12;--:--;    275.000
1940-01-13;--:--;    270.000
1940-01-14;--:--;    265.000
1940-01-15;--:--;    260.000
1940-01-16;--:--;    255.000
1940-01-17;--:--;    250.000
1940-01-18;--:--;    245.000
1940-01-19;--:--;    240.000
1940-01-20;--:--;    235.000
1940-01-21;--:--;    230.000
1940-01-22;--:--;    226.000
1940-01-23;--:--;    221.000
1940-01-24;--:--;    217.000
1940-01-25;--:--;    213.000
1940-01-26;--:--;    208.000
1940-01-27;--:--;    204.000
1940-01-28;--:--;    200.000
1940-01-29;--:--;    196.000
1940-01-30;--:--;    191.000
1940-01-31;--:--;    187.000
1940-02-01;--:--;    186.000
1940-02-02;--:--;    184.000
1940-02-03;--:--;    183.000
1940-02-04;--:--;    181.000
1940-02-05;--:--;    180.000
1940-02-06;--:--;    179.000
1940-02-07;--:--;    177.000
1940-02-08;--:--;    176.000
1940-02-09;--:--;    174.000
1940-02-10;--:--;    173.000
1940-02-11;--:--;    173.000
1940-02-12;--:--;    173.000
1940-02-13;--:--;    173.000
1940-02-14;--:--;    173.000
1940-02-15;--:--;    172.000
1940-02-16;--:--;    172.000
1940-02-17;--:--;    172.000
1940-02-18;--:--;    172.000
1940-02-19;--:--;    172.000
1940-02-20;--:--;    172.000
1940-02-21;--:--;    172.000
1940-02-22;--:--;    171.000
1940-02-23;--:--;    171.000
1940-02-24;--:--;    171.000
1940-02-25;--:--;    170.000
1940-02-26;--:--;    170.000
1940-02-27;--:--;    170.000
1940-02-28;--:--;    170.000
1940-02-29;--:--;    169.000
1940-03-01;--:--;    169.000
1940-03-02;--:--;    169.000
1940-03-03;--:--;    169.000
1940-03-04;--:--;    168.000
1940-03-05;--:--;    167.000
1940-03-06;--:--;    167.000
1940-03-07;--:--;    167.000
1940-03-08;--:--;    166.000
1940-03-09;--:--;    166.000
1940-03-10;--:--;    165.000
1940-03-11;--:--;    165.000
1940-03-12;--:--;    164.000
1940-03-13;--:--;    163.000
1940-03-14;--:--;    162.000
1940-03-15;--:--;    161.000
1940-03-16;--:--;    160.000
1940-03-17;--:--;    160.000
1940-03-18;--:--;    159.000
1940-03-19;--:--;    158.000
1940-03-20;--:--;    157.000
1940-03-21;--:--;    156.000
1940-03-22;--:--;    155.000
1940-03-23;--:--;    155.000
1940-03-24;--:--;    154.000
1940-03-25;--:--;    154.000
1940-03-26;--:--;    154.000
1940-03-27;--:--;    153.000
1940-03-28;--:--;    153.000
1940-03-29;--:--;    153.000
1940-03-30;--:--;    152.000
1940-03-31;--:--;    152.000
1940-04-01;--:--;    152.000
1940-04-02;--:--;    152.000
1940-04-03;--:--;    151.000
1940-04-04;--:--;    151.000
1940-04-05;--:--;    151.000
1940-04-06;--:--;    151.000
1940-04-07;--:--;    151.000
1940-04-08;--:--;    150.000
1940-04-09;--:--;    150.000
1940-04-10;--:--;    150.000
1940-04-11;--:--;    150.000
1940-04-12;--:--;    150.000
1940-04-13;--:--;    150.000
1940-04-14;--:--;    150.000
1940-04-15;--:--;    150.000
1940-04-16;--:--;    149.000
1940-04-17;--:--;    149.000
1940-04-18;--:--;    149.000
1940-04-19;--:--;    149.000
1940-04-20;--:--;    149.000
1940-04-21;--:--;    149.000
1940-04-22;--:--;    149.000
1940-04-23;--:--;    150.000
1940-04-24;--:--;    150.000
1940-04-25;--:--;    150.000
1940-04-26;--:--;    150.000
1940-04-27;--:--;    153.000
1940-04-28;--:--;    156.000
1940-04-29;--:--;    159.000
1940-04-30;--:--;    162.000
1940-05-01;--:--;    165.000
1940-05-02;--:--;    171.000
1940-05-03;--:--;    176.000
1940-05-04;--:--;    182.000
1940-05-05;--:--;    188.000
1940-05-06;--:--;    194.000
1940-05-07;--:--;    199.000
1940-05-08;--:--;    205.000
1940-05-09;--:--;    215.000
1940-05-10;--:--;    225.000
1940-05-11;--:--;    235.000
1940-05-12;--:--;    262.000
1940-05-13;--:--;    288.000
1940-05-14;--:--;    315.000
1940-05-15;--:--;    349.000
1940-05-16;--:--;    383.000
1940-05-17;--:--;    416.000
1940-05-18;--:--;    450.000
1940-05-19;--:--;    484.000
1940-05-20;--:--;   1460.000
1940-05-21;--:--;   2430.000
1940-05-22;--:--;   3410.000
1940-05-23;--:--;   4380.000
1940-05-24;--:--;   5360.000
1940-05-25;--:--;  13400.000
1940-05-26;--:--;  21500.000
1940-05-27;--:--;  29600.000
1940-05-28;--:--;  19400.000
1940-05-29;--:--;  27000.000
1940-05-30;--:--;  34700.000
1940-05-31;--:--;  41000.000
1940-06-01;--:--;  46400.000
1940-06-02;--:--;  50500.000
1940-06-03;--:--;  47600.000
1940-06-04;--:--;  42400.000
1940-06-05;--:--;  36500.000
1940-06-06;--:--;  31800.000
1940-06-07;--:--;  29100.000
1940-06-08;--:--;  26000.000
1940-06-09;--:--;  23800.000
1940-06-10;--:--;  21400.000
1940-06-11;--:--;  19600.000
1940-06-12;--:--;  18000.000
1940-06-13;--:--;  15900.000
1940-06-14;--:--;  14100.000
1940-06-15;--:--;  12700.000
1940-06-16;--:--;  11100.000
1940-06-17;--:--;   9860.000
1940-06-18;--:--;   9810.000
1940-06-19;--:--;   8930.000
1940-06-20;--:--;   9040.000
1940-06-21;--:--;   9820.000
1940-06-22;--:--;  10400.000
1940-06-23;--:--;  10200.000
1940-06-24;--:--;   9610.000
1940-06-25;--:--;   8930.000
1940-06-26;--:--;   8300.000
1940-06-27;--:--;   8250.000
1940-06-28;--:--;   9000.000
1940-06-29;--:--;   9670.000
1940-06-30;--:--;   9660.000
1940-07-01;--:--;   9220.000
1940-07-02;--:--;   8730.000
1940-07-03;--:--;   8420.000
1940-07-04;--:--;   8190.000
1940-07-05;--:--;   7790.000
1940-07-06;--:--;   7280.000
1940-07-07;--:--;   6660.000
1940-07-08;--:--;   6040.000
1940-07-09;--:--;   5440.000
1940-07-10;--:--;   4970.000
1940-07-11;--:--;   4640.000
1940-07-12;--:--;   4470.000
1940-07-13;--:--;   5930.000
1940-07-14;--:--;   8090.000
1940-07-15;--:--;   9810.000
1940-07-16;--:--;  10400.000
1940-07-17;--:--;   9620.000
1940-07-18;--:--;   9030.000
1940-07-19;--:--;   9320.000
1940-07-20;--:--;   8000.000
1940-07-21;--:--;   7560.000
1940-07-22;--:--;   6870.000
1940-07-23;--:--;   6270.000
1940-07-24;--:--;   5740.000
1940-07-25;--:--;   5280.000
1940-07-26;--:--;   4870.000
1940-07-27;--:--;   4560.000
1940-07-28;--:--;   4240.000
1940-07-29;--:--;   3840.000
1940-07-30;--:--;   3460.000
1940-07-31;--:--;   3340.000
1940-08-01;--:--;   3390.000
1940-08-02;--:--;   3240.000
1940-08-03;--:--;   2940.000
1940-08-04;--:--;   2620.000
1940-08-05;--:--;   2360.000
1940-08-06;--:--;   2130.000
1940-08-07;--:--;   1910.000
1940-08-08;--:--;   1740.000
1940-08-09;--:--;   1570.000
1940-08-10;--:--;   1420.000
1940-08-11;--:--;   1360.000
1940-08-12;--:--;   1340.000
1940-08-13;--:--;   1390.000
1940-08-14;--:--;   1530.000
1940-08-15;--:--;   2060.000
1940-08-16;--:--;   2290.000
1940-08-17;--:--;   2570.000
1940-08-18;--:--;   3250.000
1940-08-19;--:--;   3960.000
1940-08-20;--:--;   4150.000
1940-08-21;--:--;   3940.000
1940-08-22;--:--;   3600.000
1940-08-23;--:--;   3300.000
1940-08-24;--:--;   2970.000
1940-08-25;--:--;   2670.000
1940-08-26;--:--;   2470.000
1940-08-27;--:--;   2290.000
1940-08-28;--:--;   2200.000
1940-08-29;--:--;   2140.000
1940-08-30;--:--;   2200.000
1940-08-31;--:--;   2550.000
1940-09-01;--:--;   3220.000
1940-09-02;--:--;   4160.000
1940-09-03;--:--;   4340.000
1940-09-04;--:--;   3980.000
1940-09-05;--:--;   3510.000
1940-09-06;--:--;   3070.000
1940-09-07;--:--;   2710.000
1940-09-08;--:--;   2430.000
1940-09-09;--:--;   2210.000
1940-09-10;--:--;   2060.000
1940-09-11;--:--;   1880.000
1940-09-12;--:--;   1700.000
1940-09-13;--:--;   1530.000
1940-09-14;--:--;   1480.000
1940-09-15;--:--;   1450.000
1940-09-16;--:--;   1440.000
1940-09-17;--:--;   1470.000
1940-09-18;--:--;   1400.000
1940-09-19;--:--;   1440.000
1940-09-20;--:--;   1570.000
1940-09-21;--:--;   1700.000
1940-09-22;--:--;   1920.000
1940-09-23;--:--;   2100.000
1940-09-24;--:--;   2140.000
1940-09-25;--:--;   2130.000
1940-09-26;--:--;   2080.000
1940-09-27;--:--;   1920.000
1940-09-28;--:--;   1740.000
1940-09-29;--:--;   1600.000
1940-09-30;--:--;   1480.000
1940-10-01;--:--;   1350.000
1940-10-02;--:--;   1340.000
1940-10-03;--:--;   1220.000
1940-10-04;--:--;   1140.000
1940-10-05;--:--;   1140.000
1940-10-06;--:--;   1140.000
1940-10-07;--:--;   1140.000
1940-10-08;--:--;   1100.000
1940-10-09;--:--;   1100.000
1940-10-10;--:--;   1120.000
1940-10-11;--:--;   1130.000
1940-10-12;--:--;   1110.000
1940-10-13;--:--;    901.000
1940-10-14;--:--;    693.000
1940-10-15;--:--;    484.000
1940-10-16;--:--;    486.000
1940-10-17;--:--;    490.000
1940-10-18;--:--;    502.000
1940-10-19;--:--;    514.000
1940-10-20;--:--;    525.000
1940-10-21;--:--;    537.000
1940-10-22;--:--;    549.000
1940-10-23;--:--;    561.000
1940-10-24;--:--;    573.000
1940-10-25;--:--;    584.000
1940-10-26;--:--;    596.000
1940-10-27;--:--;    608.000
1940-10-28;--:--;    620.000
1940-10-29;--:--;    631.000
1940-10-30;--:--;    643.000
1940-10-31;--:--;    655.000
1940-11-01;--:--;    669.000
1940-11-02;--:--;    683.000
1940-11-03;--:--;    697.000
1940-11-04;--:--;    711.000
1940-11-05;--:--;    725.000
1940-11-06;--:--;    732.000
1940-11-07;--:--;    740.000
1940-11-08;--:--;    745.000
1940-11-09;--:--;    750.000
1940-11-10;--:--;    750.000
1940-11-11;--:--;    750.000
1940-11-12;--:--;    750.000
1940-11-13;--:--;    749.000
1940-11-14;--:--;    749.000
1940-11-15;--:--;    749.000
1940-11-16;--:--;    744.000
1940-11-17;--:--;    740.000
1940-11-18;--:--;    735.000
1940-11-19;--:--;    730.000
1940-11-20;--:--;    721.000
1940-11-21;--:--;    712.000
1940-11-22;--:--;    703.000
1940-11-23;--:--;    694.000
1940-11-24;--:--;    685.000
1940-11-25;--:--;    670.000
1940-11-26;--:--;    656.000
1940-11-27;--:--;    641.000
1940-11-28;--:--;    626.000
1940-11-29;--:--;    612.000
1940-11-30;--:--;    597.000
1940-12-01;--:--;    583.000
1940-12-02;--:--;    568.000
1940-12-03;--:--;    553.000
1940-12-04;--:--;    539.000
1940-12-05;--:--;    524.000
1940-12-06;--:--;    510.000
1940-12-07;--:--;    495.000
1940-12-08;--:--;    480.000
1940-12-09;--:--;    464.000
1940-12-10;--:--;    449.000
1940-12-11;--:--;    434.000
1940-12-12;--:--;    418.000
1940-12-13;--:--;    403.000
1940-12-14;--:--;    388.000
1940-12-15;--:--;    372.000
1940-12-16;--:--;    357.000
1940-12-17;--:--;    342.000
1940-12-18;--:--;    326.000
1940-12-19;--:--;    311.000
1940-12-20;--:--;    295.000
1940-12-21;--:--;    280.000
1940-12-22;--:--;    269.000
1940-12-23;--:--;    259.000
1940-12-24;--:--;    248.000
1940-12-25;--:--;    238.000
1940-12-26;--:--;    227.000
1940-12-27;--:--;    216.000
1940-12-28;--:--;    206.000
1940-12-29;--:--;    195.000
1940-12-30;--:--;    188.000
1940-12-31;--:--;    180.000
1941-01-01;--:--;    175.000
1941-01-02;--:--;    173.000
1941-01-03;--:--;    172.000
1941-01-04;--:--;    170.000
1941-01-05;--:--;    168.000
1941-01-06;--:--;    166.000
1941-01-07;--:--;    165.000
1941-01-08;--:--;    163.000
1941-01-09;--:--;    161.000
1941-01-10;--:--;    160.000
1941-01-11;--:--;    158.000
1941-01-12;--:--;    157.000
1941-01-13;--:--;    156.000
1941-01-14;--:--;    155.000
1941-01-15;--:--;    154.000
1941-01-16;--:--;    154.000
1941-01-17;--:--;    153.000
1941-01-18;--:--;    152.000
1941-01-19;--:--;    151.000
1941-01-20;--:--;    150.000
1941-01-21;--:--;    149.000
1941-01-22;--:--;    148.000
1941-01-23;--:--;    148.000
1941-01-24;--:--;    147.000
1941-01-25;--:--;    146.000
1941-01-26;--:--;    146.000
1941-01-27;--:--;    145.000
1941-01-28;--:--;    144.000
1941-01-29;--:--;    143.000
1941-01-30;--:--;    143.000
1941-01-31;--:--;    142.000
1941-02-01;--:--;    142.000
1941-02-02;--:--;    141.000
1941-02-03;--:--;    141.000
1941-02-04;--:--;    141.000
1941-02-05;--:--;    140.000
1941-02-06;--:--;    140.000
1941-02-07;--:--;    140.000
1941-02-08;--:--;    140.000
1941-02-09;--:--;    139.000
1941-02-10;--:--;    139.000
1941-02-11;--:--;    138.000
1941-02-12;--:--;    138.000
1941-02-13;--:--;    137.000
1941-02-14;--:--;    137.000
1941-02-15;--:--;    136.000
1941-02-16;--:--;    135.000
1941-02-17;--:--;    135.000
1941-02-18;--:--;    134.000
1941-02-19;--:--;    134.000
1941-02-20;--:--;    133.000
1941-02-21;--:--;    132.000
1941-02-22;--:--;    131.000
1941-02-23;--:--;    131.000
1941-02-24;--:--;    130.000
1941-02-25;--:--;    129.000
1941-02-26;--:--;    128.000
1941-02-27;--:--;    128.000
1941-02-28;--:--;    127.000
1941-03-01;--:--;    126.000
1941-03-02;--:--;    126.000
1941-03-03;--:--;    125.000
1941-03-04;--:--;    125.000
1941-03-05;--:--;    124.000
1941-03-06;--:--;    124.000
1941-03-07;--:--;    124.000
1941-03-08;--:--;    123.000
1941-03-09;--:--;    123.000
1941-03-10;--:--;    122.000
1941-03-11;--:--;    122.000
1941-03-12;--:--;    122.000
1941-03-13;--:--;    121.000
1941-03-14;--:--;    121.000
1941-03-15;--:--;    120.000
1941-03-16;--:--;    120.000
1941-03-17;--:--;    120.000
1941-03-18;--:--;    119.000
1941-03-19;--:--;    119.000
1941-03-20;--:--;    118.000
1941-03-21;--:--;    118.000
1941-03-22;--:--;    118.000
1941-03-23;--:--;    118.000
1941-03-24;--:--;    118.000
1941-03-25;--:--;    118.000
1941-03-26;--:--;    118.000
1941-03-27;--:--;    118.000
1941-03-28;--:--;    118.000
1941-03-29;--:--;    118.000
1941-03-30;--:--;    118.000
1941-03-31;--:--;    118.000
1941-04-01;--:--;    118.000
1941-04-02;--:--;    117.000
1941-04-03;--:--;    117.000
1941-04-04;--:--;    117.000
1941-04-05;--:--;    116.000
1941-04-06;--:--;    116.000
1941-04-07;--:--;    116.000
1941-04-08;--:--;    116.000
1941-04-09;--:--;    115.000
1941-04-10;--:--;    115.000
1941-04-11;--:--;    115.000
1941-04-12;--:--;    115.000
1941-04-13;--:--;    116.000
1941-04-14;--:--;    116.000
1941-04-15;--:--;    116.000
1941-04-16;--:--;    116.000
1941-04-17;--:--;    116.000
1941-04-18;--:--;    117.000
1941-04-19;--:--;    117.000
1941-04-20;--:--;    117.000
1941-04-21;--:--;    118.000
1941-04-22;--:--;    120.000
1941-04-23;--:--;    122.000
1941-04-24;--:--;    123.000
1941-04-25;--:--;    124.000
1941-04-26;--:--;    126.000
1941-04-27;--:--;    128.000
1941-04-28;--:--;    129.000
1941-04-29;--:--;    130.000
1941-04-30;--:--;    132.000
1941-05-01;--:--;    135.000
1941-05-02;--:--;    138.000
1941-05-03;--:--;    140.000
1941-05-04;--:--;    143.000
1941-05-05;--:--;    146.000
1941-05-06;--:--;    149.000
1941-05-07;--:--;    152.000
1941-05-08;--:--;    154.000
1941-05-09;--:--;    157.000
