# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2910601
# River:                 OB'
# Station:               KOLPASHEVO
# Country:               RU
# Latitude (DD):       58.29999924
# Longitude (DD):      82.87999725
# Catchment area (km²):      486000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2910600
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936-01 - 1994-12
# No. of years:          60
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 21550
# DATA
YYYY-MM-DD;hh:mm; Value
1936-01-01;--:--;   1100.000
1936-01-02;--:--;   1080.000
1936-01-03;--:--;   1070.000
1936-01-04;--:--;   1050.000
1936-01-05;--:--;   1040.000
1936-01-06;--:--;   1020.000
1936-01-07;--:--;   1010.000
1936-01-08;--:--;    994.000
1936-01-09;--:--;    981.000
1936-01-10;--:--;    972.000
1936-01-11;--:--;    963.000
1936-01-12;--:--;    950.000
1936-01-13;--:--;    940.000
1936-01-14;--:--;    927.000
1936-01-15;--:--;    918.000
1936-01-16;--:--;    909.000
1936-01-17;--:--;    891.000
1936-01-18;--:--;    882.000
1936-01-19;--:--;    873.000
1936-01-20;--:--;    864.000
1936-01-21;--:--;    855.000
1936-01-22;--:--;    850.000
1936-01-23;--:--;    842.000
1936-01-24;--:--;    837.000
1936-01-25;--:--;    846.000
1936-01-26;--:--;    837.000
1936-01-27;--:--;    883.000
1936-01-28;--:--;    823.000
1936-01-29;--:--;    819.000
1936-01-30;--:--;    814.000
1936-01-31;--:--;    805.000
1936-02-01;--:--;    800.000
1936-02-02;--:--;    796.000
1936-02-03;--:--;    791.000
1936-02-04;--:--;    782.000
1936-02-05;--:--;    777.000
