# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2911097
# River:                 IRTYSH
# Station:               TOBOL'SK
# Country:               RU
# Latitude (DD):       58.20000076
# Longitude (DD):      68.23000336
# Catchment area (km²):      1500000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2911096
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1950-01 - 1997-12
# No. of years:          49
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 17532
# DATA
YYYY-MM-DD;hh:mm; Value
1950-01-01;--:--;    664.000
1950-01-02;--:--;    664.000
1950-01-03;--:--;    664.000
1950-01-04;--:--;    664.000
1950-01-05;--:--;    664.000
1950-01-06;--:--;    664.000
1950-01-07;--:--;    664.000
1950-01-08;--:--;    664.000
1950-01-09;--:--;    664.000
1950-01-10;--:--;    664.000
1950-01-11;--:--;    647.000
1950-01-12;--:--;    647.000
1950-01-13;--:--;    647.000
1950-01-14;--:--;    647.000
1950-01-15;--:--;    647.000
1950-01-16;--:--;    641.000
1950-01-17;--:--;    641.000
1950-01-18;--:--;    636.000
1950-01-19;--:--;    636.000
1950-01-20;--:--;    636.000
1950-01-21;--:--;    631.000
1950-01-22;--:--;    625.000
1950-01-23;--:--;    625.000
1950-01-24;--:--;    625.000
1950-01-25;--:--;    620.000
1950-01-26;--:--;    615.000
1950-01-27;--:--;    615.000
1950-01-28;--:--;    615.000
1950-01-29;--:--;    615.000
1950-01-30;--:--;    615.000
1950-01-31;--:--;    610.000
1950-02-01;--:--;    610.000
1950-02-02;--:--;    610.000
1950-02-03;--:--;    610.000
1950-02-04;--:--;    604.000
1950-02-05;--:--;    604.000
1950-02-06;--:--;    604.000
1950-02-07;--:--;    604.000
1950-02-08;--:--;    616.000
1950-02-09;--:--;    610.000
1950-02-10;--:--;    610.000
1950-02-11;--:--;    610.000
1950-02-12;--:--;    610.000
1950-02-13;--:--;    610.000
1950-02-14;--:--;    610.000
1950-02-15;--:--;    610.000
1950-02-16;--:--;    610.000
1950-02-17;--:--;    605.000
1950-02-18;--:--;    605.000
1950-02-19;--:--;    605.000
1950-02-20;--:--;    605.000
1950-02-21;--:--;    599.000
1950-02-22;--:--;    599.000
1950-02-23;--:--;    599.000
1950-02-24;--:--;    594.000
1950-02-25;--:--;    594.000
1950-02-26;--:--;    605.000
1950-02-27;--:--;    605.000
1950-02-28;--:--;    605.000
1950-03-01;--:--;    600.000
1950-03-02;--:--;    600.000
1950-03-03;--:--;    600.000
1950-03-04;--:--;    600.000
1950-03-05;--:--;    600.000
1950-03-06;--:--;    610.000
1950-03-07;--:--;    610.000
1950-03-08;--:--;    610.000
1950-03-09;--:--;    610.000
1950-03-10;--:--;    616.000
1950-03-11;--:--;    610.000
1950-03-12;--:--;    610.000
1950-03-13;--:--;    610.000
1950-03-14;--:--;    610.000
1950-03-15;--:--;    610.000
1950-03-16;--:--;    610.000
1950-03-17;--:--;    610.000
1950-03-18;--:--;    610.000
1950-03-19;--:--;    610.000
1950-03-20;--:--;    610.000
1950-03-21;--:--;    610.000
1950-03-22;--:--;    610.000
1950-03-23;--:--;    610.000
1950-03-24;--:--;    610.000
1950-03-25;--:--;    610.000
1950-03-26;--:--;    610.000
1950-03-27;--:--;    610.000
1950-03-28;--:--;    616.000
1950-03-29;--:--;    616.000
1950-03-30;--:--;    616.000
1950-03-31;--:--;    605.000
1950-04-01;--:--;    605.000
1950-04-02;--:--;    594.000
1950-04-03;--:--;    599.000
1950-04-04;--:--;    599.000
1950-04-05;--:--;    594.000
1950-04-06;--:--;    588.000
1950-04-07;--:--;    598.000
1950-04-08;--:--;    612.000
1950-04-09;--:--;    615.000
1950-04-10;--:--;    620.000
1950-04-11;--:--;    630.000
1950-04-12;--:--;    653.000
1950-04-13;--:--;    663.000
1950-04-14;--:--;    686.000
1950-04-15;--:--;    721.000
1950-04-16;--:--;    761.000
1950-04-17;--:--;    846.000
1950-04-18;--:--;    940.000
1950-04-19;--:--;   1060.000
1950-04-20;--:--;   1240.000
1950-04-21;--:--;   1420.000
1950-04-22;--:--;   1690.000
1950-04-23;--:--;   1890.000
1950-04-24;--:--;   2210.000
1950-04-25;--:--;   2770.000
1950-04-26;--:--;   3060.000
1950-04-27;--:--;   3310.000
1950-04-28;--:--;   3440.000
1950-04-29;--:--;   3720.000
1950-04-30;--:--;   3900.000
1950-05-01;--:--;   4170.000
1950-05-02;--:--;   4440.000
1950-05-03;--:--;   4600.000
1950-05-04;--:--;   4770.000
1950-05-05;--:--;   4910.000
1950-05-06;--:--;   5040.000
1950-05-07;--:--;   5160.000
1950-05-08;--:--;   5280.000
1950-05-09;--:--;   5390.000
1950-05-10;--:--;   5480.000
1950-05-11;--:--;   5550.000
1950-05-12;--:--;   5630.000
1950-05-13;--:--;   5710.000
1950-05-14;--:--;   5750.000
1950-05-15;--:--;   5800.000
1950-05-16;--:--;   5830.000
1950-05-17;--:--;   5860.000
1950-05-18;--:--;   5880.000
1950-05-19;--:--;   5910.000
1950-05-20;--:--;   5920.000
1950-05-21;--:--;   5940.000
1950-05-22;--:--;   5940.000
1950-05-23;--:--;   5960.000
1950-05-24;--:--;   5960.000
1950-05-25;--:--;   5960.000
1950-05-26;--:--;   5940.000
1950-05-27;--:--;   5940.000
1950-05-28;--:--;   5920.000
1950-05-29;--:--;   5880.000
1950-05-30;--:--;   5810.000
1950-05-31;--:--;   5750.000
1950-06-01;--:--;   5690.000
1950-06-02;--:--;   5610.000
1950-06-03;--:--;   5570.000
1950-06-04;--:--;   5520.000
1950-06-05;--:--;   5440.000
1950-06-06;--:--;   5350.000
1950-06-07;--:--;   5280.000
1950-06-08;--:--;   5190.000
1950-06-09;--:--;   5140.000
1950-06-10;--:--;   5060.000
1950-06-11;--:--;   4950.000
1950-06-12;--:--;   4880.000
1950-06-13;--:--;   4800.000
1950-06-14;--:--;   4710.000
1950-06-15;--:--;   4620.000
1950-06-16;--:--;   4560.000
1950-06-17;--:--;   4510.000
1950-06-18;--:--;   4470.000
1950-06-19;--:--;   4440.000
1950-06-20;--:--;   4410.000
1950-06-21;--:--;   4380.000
1950-06-22;--:--;   4380.000
1950-06-23;--:--;   4370.000
1950-06-24;--:--;   4340.000
1950-06-25;--:--;   4310.000
1950-06-26;--:--;   4300.000
1950-06-27;--:--;   4280.000
1950-06-28;--:--;   4260.000
1950-06-29;--:--;   4230.000
1950-06-30;--:--;   4220.000
1950-07-01;--:--;   4220.000
1950-07-02;--:--;   4220.000
1950-07-03;--:--;   4220.000
1950-07-04;--:--;   4240.000
1950-07-05;--:--;   4270.000
1950-07-06;--:--;   4290.000
1950-07-07;--:--;   4310.000
1950-07-08;--:--;   4350.000
1950-07-09;--:--;   4380.000
1950-07-10;--:--;   4400.000
1950-07-11;--:--;   4420.000
1950-07-12;--:--;   4440.000
1950-07-13;--:--;   4460.000
1950-07-14;--:--;   4470.000
1950-07-15;--:--;   4490.000
1950-07-16;--:--;   4510.000
1950-07-17;--:--;   4560.000
1950-07-18;--:--;   4580.000
1950-07-19;--:--;   4590.000
1950-07-20;--:--;   4560.000
1950-07-21;--:--;   4510.000
1950-07-22;--:--;   4460.000
1950-07-23;--:--;   4420.000
1950-07-24;--:--;   4360.000
1950-07-25;--:--;   4280.000
1950-07-26;--:--;   4220.000
1950-07-27;--:--;   4170.000
1950-07-28;--:--;   4140.000
1950-07-29;--:--;   4100.000
1950-07-30;--:--;   4060.000
1950-07-31;--:--;   4030.000
1950-08-01;--:--;   4010.000
1950-08-02;--:--;   3990.000
1950-08-03;--:--;   3960.000
1950-08-04;--:--;   3950.000
1950-08-05;--:--;   3930.000
1950-08-06;--:--;   3930.000
1950-08-07;--:--;   3920.000
1950-08-08;--:--;   3920.000
1950-08-09;--:--;   3910.000
1950-08-10;--:--;   3910.000
1950-08-11;--:--;   3910.000
1950-08-12;--:--;   3900.000
1950-08-13;--:--;   3900.000
1950-08-14;--:--;   3900.000
1950-08-15;--:--;   3900.000
1950-08-16;--:--;   3900.000
1950-08-17;--:--;   3900.000
1950-08-18;--:--;   3900.000
1950-08-19;--:--;   3900.000
1950-08-20;--:--;   3910.000
1950-08-21;--:--;   3910.000
1950-08-22;--:--;   3910.000
