# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2911100
# River:                 IRTYSH
# Station:               OMSK
# Country:               RU
# Latitude (DD):       55.02000046
# Longitude (DD):      73.30000305
# Catchment area (km²):      769000.0
# Altitude (m ASL):        68.9
# Next downstream station:      2911097
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1960-01 - 1990-12
# No. of years:          32
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 11323
# DATA
YYYY-MM-DD;hh:mm; Value
1960-01-01;--:--;    478.000
1960-01-02;--:--;    484.000
1960-01-03;--:--;    484.000
1960-01-04;--:--;    484.000
1960-01-05;--:--;    484.000
1960-01-06;--:--;    472.000
1960-01-07;--:--;    466.000
1960-01-08;--:--;    463.000
1960-01-09;--:--;    466.000
1960-01-10;--:--;    466.000
1960-01-11;--:--;    466.000
1960-01-12;--:--;    454.000
1960-01-13;--:--;    448.000
1960-01-14;--:--;    442.000
1960-01-15;--:--;    438.000
1960-01-16;--:--;    436.000
1960-01-17;--:--;    430.000
1960-01-18;--:--;    417.000
1960-01-19;--:--;    405.000
1960-01-20;--:--;    408.000
1960-01-21;--:--;    411.000
1960-01-22;--:--;    417.000
1960-01-23;--:--;    430.000
1960-01-24;--:--;    428.000
1960-01-25;--:--;    431.000
1960-01-26;--:--;    431.000
1960-01-27;--:--;    423.000
1960-01-28;--:--;    426.000
1960-01-29;--:--;    429.000
1960-01-30;--:--;    429.000
1960-01-31;--:--;    432.000
1960-02-01;--:--;    417.000
1960-02-02;--:--;    419.000
1960-02-03;--:--;    419.000
1960-02-04;--:--;    413.000
1960-02-05;--:--;    419.000
1960-02-06;--:--;    424.000
1960-02-07;--:--;    418.000
1960-02-08;--:--;    414.000
1960-02-09;--:--;    405.000
1960-02-10;--:--;    400.000
1960-02-11;--:--;    392.000
1960-02-12;--:--;    381.000
1960-02-13;--:--;    370.000
1960-02-14;--:--;    365.000
1960-02-15;--:--;    360.000
1960-02-16;--:--;    349.000
1960-02-17;--:--;    339.000
1960-02-18;--:--;    324.000
1960-02-19;--:--;    326.000
1960-02-20;--:--;    334.000
1960-02-21;--:--;    345.000
1960-02-22;--:--;    355.000
1960-02-23;--:--;    363.000
1960-02-24;--:--;    368.000
1960-02-25;--:--;    373.000
1960-02-26;--:--;    379.000
1960-02-27;--:--;    381.000
1960-02-28;--:--;    376.000
1960-02-29;--:--;    371.000
1960-03-01;--:--;    366.000
1960-03-02;--:--;    360.000
1960-03-03;--:--;    358.000
1960-03-04;--:--;    358.000
1960-03-05;--:--;    360.000
1960-03-06;--:--;    353.000
1960-03-07;--:--;    353.000
1960-03-08;--:--;    348.000
1960-03-09;--:--;    348.000
1960-03-10;--:--;    345.000
1960-03-11;--:--;    350.000
1960-03-12;--:--;    355.000
1960-03-13;--:--;    347.000
1960-03-14;--:--;    337.000
1960-03-15;--:--;    337.000
1960-03-16;--:--;    330.000
1960-03-17;--:--;    316.000
1960-03-18;--:--;    311.000
1960-03-19;--:--;    304.000
1960-03-20;--:--;    304.000
1960-03-21;--:--;    301.000
1960-03-22;--:--;    301.000
1960-03-23;--:--;    306.000
1960-03-24;--:--;    318.000
1960-03-25;--:--;    328.000
1960-03-26;--:--;    337.000
1960-03-27;--:--;    350.000
1960-03-28;--:--;    352.000
1960-03-29;--:--;    352.000
1960-03-30;--:--;    355.000
1960-03-31;--:--;    357.000
1960-04-01;--:--;    357.000
1960-04-02;--:--;    349.000
1960-04-03;--:--;    349.000
1960-04-04;--:--;    352.000
1960-04-05;--:--;    344.000
1960-04-06;--:--;    337.000
1960-04-07;--:--;    339.000
1960-04-08;--:--;    346.000
1960-04-09;--:--;    348.000
1960-04-10;--:--;    359.000
