# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2911303
# River:                 ISHIM
# Station:               VIKULOVO
# Country:               RU
# Latitude (DD):       56.81999969
# Longitude (DD):      70.62999725
# Catchment area (km²):      151000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2911304
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1952-01 - 1995-12
# No. of years:          45
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 16071
# DATA
YYYY-MM-DD;hh:mm; Value
1952-01-01;--:--;      6.550
1952-01-02;--:--;      6.550
1952-01-03;--:--;      6.730
1952-01-04;--:--;      6.730
1952-01-05;--:--;      6.730
1952-01-06;--:--;      6.730
1952-01-07;--:--;      6.550
1952-01-08;--:--;      6.370
1952-01-09;--:--;      6.370
1952-01-10;--:--;      6.370
1952-01-11;--:--;      6.540
1952-01-12;--:--;      6.370
1952-01-13;--:--;      6.050
1952-01-14;--:--;      5.920
1952-01-15;--:--;      5.920
1952-01-16;--:--;      5.920
1952-01-17;--:--;      5.920
1952-01-18;--:--;      5.920
1952-01-19;--:--;      5.610
1952-01-20;--:--;      5.610
1952-01-21;--:--;      5.610
1952-01-22;--:--;      5.740
1952-01-23;--:--;      5.870
1952-01-24;--:--;      5.820
1952-01-25;--:--;      5.980
1952-01-26;--:--;      5.980
1952-01-27;--:--;      5.980
1952-01-28;--:--;      5.800
1952-01-29;--:--;      5.950
1952-01-30;--:--;      5.950
1952-01-31;--:--;      6.260
1952-02-01;--:--;      6.210
1952-02-02;--:--;      6.360
1952-02-03;--:--;      6.210
1952-02-04;--:--;      6.210
1952-02-05;--:--;      6.210
1952-02-06;--:--;      6.150
1952-02-07;--:--;      6.150
1952-02-08;--:--;      6.150
1952-02-09;--:--;      6.080
1952-02-10;--:--;      6.080
1952-02-11;--:--;      5.940
1952-02-12;--:--;      5.940
1952-02-13;--:--;      6.080
1952-02-14;--:--;      5.860
1952-02-15;--:--;      5.720
1952-02-16;--:--;      5.720
1952-02-17;--:--;      5.990
1952-02-18;--:--;      5.640
1952-02-19;--:--;      5.640
1952-02-20;--:--;      5.640
1952-02-21;--:--;      5.510
1952-02-22;--:--;      5.550
1952-02-23;--:--;      5.550
1952-02-24;--:--;      5.550
1952-02-25;--:--;      5.420
1952-02-26;--:--;      5.210
1952-02-27;--:--;      5.210
1952-02-28;--:--;      5.210
1952-02-29;--:--;      5.210
1952-03-01;--:--;      5.330
1952-03-02;--:--;      4.990
1952-03-03;--:--;      4.990
1952-03-04;--:--;      4.990
1952-03-05;--:--;      4.880
1952-03-06;--:--;      4.880
1952-03-07;--:--;      4.880
1952-03-08;--:--;      4.990
1952-03-09;--:--;      4.990
1952-03-10;--:--;      4.990
1952-03-11;--:--;      4.870
1952-03-12;--:--;      4.870
1952-03-13;--:--;      4.870
1952-03-14;--:--;      4.440
1952-03-15;--:--;      4.640
1952-03-16;--:--;      4.760
1952-03-17;--:--;      4.760
1952-03-18;--:--;      4.640
1952-03-19;--:--;      4.520
1952-03-20;--:--;      4.520
1952-03-21;--:--;      4.620
1952-03-22;--:--;      4.620
1952-03-23;--:--;      4.620
1952-03-24;--:--;      4.620
1952-03-25;--:--;      4.710
1952-03-26;--:--;      4.830
1952-03-27;--:--;      4.830
1952-03-28;--:--;      4.830
1952-03-29;--:--;      4.940
1952-03-30;--:--;      5.040
1952-03-31;--:--;      5.130
1952-04-01;--:--;      5.240
1952-04-02;--:--;      5.240
1952-04-03;--:--;      5.240
1952-04-04;--:--;      5.520
1952-04-05;--:--;      5.520
1952-04-06;--:--;      5.640
1952-04-07;--:--;      5.640
1952-04-08;--:--;      5.640
1952-04-09;--:--;      5.740
1952-04-10;--:--;      5.740
1952-04-11;--:--;      6.170
1952-04-12;--:--;      6.620
1952-04-13;--:--;      6.920
1952-04-14;--:--;      7.220
1952-04-15;--:--;      7.830
1952-04-16;--:--;      8.820
1952-04-17;--:--;      9.810
1952-04-18;--:--;     11.000
1952-04-19;--:--;     15.400
1952-04-20;--:--;     22.500
1952-04-21;--:--;     30.500
1952-04-22;--:--;     35.800
1952-04-23;--:--;     39.300
1952-04-24;--:--;     45.300
1952-04-25;--:--;     53.400
1952-04-26;--:--;     61.100
1952-04-27;--:--;     65.900
1952-04-28;--:--;     68.500
1952-04-29;--:--;     69.200
1952-04-30;--:--;     64.200
1952-05-01;--:--;     55.500
1952-05-02;--:--;     47.800
1952-05-03;--:--;     49.100
1952-05-04;--:--;     48.600
1952-05-05;--:--;     42.800
1952-05-06;--:--;     38.500
1952-05-07;--:--;     37.000
1952-05-08;--:--;     35.600
1952-05-09;--:--;     43.500
1952-05-10;--:--;     69.400
1952-05-11;--:--;     95.100
1952-05-12;--:--;    115.000
1952-05-13;--:--;    128.000
1952-05-14;--:--;    135.000
1952-05-15;--:--;    138.000
1952-05-16;--:--;    139.000
1952-05-17;--:--;    136.000
1952-05-18;--:--;    131.000
1952-05-19;--:--;    125.000
1952-05-20;--:--;    119.000
1952-05-21;--:--;    111.000
1952-05-22;--:--;    104.000
1952-05-23;--:--;     98.300
1952-05-24;--:--;     92.800
1952-05-25;--:--;     87.000
1952-05-26;--:--;     81.300
1952-05-27;--:--;     75.800
1952-05-28;--:--;     71.600
1952-05-29;--:--;     66.200
1952-05-30;--:--;     61.500
1952-05-31;--:--;     56.900
1952-06-01;--:--;     53.000
1952-06-02;--:--;     49.200
1952-06-03;--:--;     45.400
1952-06-04;--:--;     43.600
1952-06-05;--:--;     42.300
1952-06-06;--:--;     41.700
1952-06-07;--:--;     39.900
1952-06-08;--:--;     38.700
1952-06-09;--:--;     36.900
1952-06-10;--:--;     34.500
1952-06-11;--:--;     32.200
1952-06-12;--:--;     31.600
1952-06-13;--:--;     31.000
1952-06-14;--:--;     29.900
1952-06-15;--:--;     28.700
1952-06-16;--:--;     27.600
1952-06-17;--:--;     26.500
1952-06-18;--:--;     25.400
1952-06-19;--:--;     24.300
1952-06-20;--:--;     23.200
1952-06-21;--:--;     22.700
1952-06-22;--:--;     22.200
1952-06-23;--:--;     21.700
1952-06-24;--:--;     21.200
1952-06-25;--:--;     20.200
1952-06-26;--:--;     20.200
1952-06-27;--:--;     20.200
1952-06-28;--:--;     19.200
1952-06-29;--:--;     18.700
1952-06-30;--:--;     18.200
1952-07-01;--:--;     18.200
1952-07-02;--:--;     17.800
1952-07-03;--:--;     17.800
1952-07-04;--:--;     18.200
1952-07-05;--:--;     18.200
1952-07-06;--:--;     18.200
1952-07-07;--:--;     18.200
1952-07-08;--:--;     18.700
1952-07-09;--:--;     19.200
1952-07-10;--:--;     19.200
1952-07-11;--:--;     19.200
1952-07-12;--:--;     18.700
1952-07-13;--:--;     18.200
1952-07-14;--:--;     17.800
1952-07-15;--:--;     17.400
1952-07-16;--:--;     17.400
1952-07-17;--:--;     18.200
1952-07-18;--:--;     18.200
1952-07-19;--:--;     17.800
1952-07-20;--:--;     16.600
1952-07-21;--:--;     16.600
1952-07-22;--:--;     16.600
1952-07-23;--:--;     16.200
1952-07-24;--:--;     15.900
1952-07-25;--:--;     15.900
1952-07-26;--:--;     15.500
1952-07-27;--:--;     15.100
1952-07-28;--:--;     15.100
1952-07-29;--:--;     14.700
1952-07-30;--:--;     14.300
1952-07-31;--:--;     14.000
1952-08-01;--:--;     13.700
1952-08-02;--:--;     13.700
1952-08-03;--:--;     13.100
1952-08-04;--:--;     13.100
1952-08-05;--:--;     13.100
1952-08-06;--:--;     13.700
1952-08-07;--:--;     13.400
1952-08-08;--:--;     13.100
1952-08-09;--:--;     12.800
1952-08-10;--:--;     12.600
1952-08-11;--:--;     12.600
1952-08-12;--:--;     12.600
1952-08-13;--:--;     12.000
1952-08-14;--:--;     12.000
1952-08-15;--:--;     11.700
1952-08-16;--:--;     11.400
1952-08-17;--:--;     11.400
1952-08-18;--:--;     11.400
1952-08-19;--:--;     11.200
1952-08-20;--:--;     11.200
1952-08-21;--:--;     11.400
1952-08-22;--:--;     11.200
1952-08-23;--:--;     11.000
1952-08-24;--:--;     11.000
1952-08-25;--:--;     10.700
1952-08-26;--:--;     10.700
1952-08-27;--:--;     10.900
1952-08-28;--:--;     10.700
1952-08-29;--:--;     10.500
1952-08-30;--:--;     10.300
1952-08-31;--:--;     10.300
1952-09-01;--:--;     10.300
1952-09-02;--:--;     10.300
1952-09-03;--:--;     10.300
1952-09-04;--:--;      9.960
1952-09-05;--:--;      9.960
1952-09-06;--:--;      9.960
1952-09-07;--:--;      9.780
1952-09-08;--:--;      9.960
1952-09-09;--:--;      9.600
1952-09-10;--:--;      9.600
1952-09-11;--:--;      9.600
1952-09-12;--:--;      9.440
1952-09-13;--:--;      9.600
1952-09-14;--:--;      9.440
1952-09-15;--:--;      9.280
1952-09-16;--:--;      9.280
1952-09-17;--:--;      8.960
1952-09-18;--:--;      8.960
1952-09-19;--:--;      8.800
1952-09-20;--:--;      8.800
