# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2912302
# River:                 TOBOL
# Station:               YALUTOROVSK
# Country:               RU
# Latitude (DD):       56.66999817
# Longitude (DD):      66.34999847
# Catchment area (km²):      241000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2912301
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1940-01 - 1987-12
# No. of years:          49
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 17531
# DATA
YYYY-MM-DD;hh:mm; Value
1940-01-01;--:--;      6.760
1940-01-02;--:--;      6.860
1940-01-03;--:--;      6.860
1940-01-04;--:--;      7.000
1940-01-05;--:--;      7.100
1940-01-06;--:--;      7.100
1940-01-07;--:--;      7.190
1940-01-08;--:--;      7.190
1940-01-09;--:--;      7.190
1940-01-10;--:--;      7.100
1940-01-11;--:--;      7.100
1940-01-12;--:--;      7.100
1940-01-13;--:--;      7.100
1940-01-14;--:--;      7.290
1940-01-15;--:--;      7.290
1940-01-16;--:--;      7.190
1940-01-17;--:--;      7.290
1940-01-18;--:--;      7.290
1940-01-19;--:--;      7.420
1940-01-20;--:--;      7.420
1940-01-21;--:--;      7.520
1940-01-22;--:--;      7.760
1940-01-23;--:--;      7.760
1940-01-24;--:--;      7.850
1940-01-25;--:--;      7.850
1940-01-26;--:--;      7.760
1940-01-27;--:--;      7.760
1940-01-28;--:--;      7.620
1940-01-29;--:--;      7.620
1940-01-30;--:--;      7.760
1940-01-31;--:--;      7.850
1940-02-01;--:--;      7.760
1940-02-02;--:--;      7.850
1940-02-03;--:--;      7.850
1940-02-04;--:--;      7.990
1940-02-05;--:--;      7.990
1940-02-06;--:--;      8.080
1940-02-07;--:--;      8.080
1940-02-08;--:--;      8.180
1940-02-09;--:--;      8.080
1940-02-10;--:--;      8.180
1940-02-11;--:--;      8.180
1940-02-12;--:--;      8.320
1940-02-13;--:--;      8.420
1940-02-14;--:--;      8.420
1940-02-15;--:--;      8.550
1940-02-16;--:--;      8.550
1940-02-17;--:--;      8.550
1940-02-18;--:--;      8.320
1940-02-19;--:--;      8.320
1940-02-20;--:--;      8.180
1940-02-21;--:--;      8.180
1940-02-22;--:--;      8.180
1940-02-23;--:--;      8.180
1940-02-24;--:--;      8.180
1940-02-25;--:--;      8.180
1940-02-26;--:--;      7.840
1940-02-27;--:--;      7.940
1940-02-28;--:--;      7.940
1940-02-29;--:--;      8.060
1940-03-01;--:--;      8.060
1940-03-02;--:--;      8.060
1940-03-03;--:--;      8.060
1940-03-04;--:--;      8.060
1940-03-05;--:--;      7.940
1940-03-06;--:--;      7.940
1940-03-07;--:--;      7.940
1940-03-08;--:--;      7.940
1940-03-09;--:--;      7.940
1940-03-10;--:--;      8.060
1940-03-11;--:--;      7.810
1940-03-12;--:--;      8.120
1940-03-13;--:--;      8.120
1940-03-14;--:--;      8.120
1940-03-15;--:--;      8.120
1940-03-16;--:--;      8.250
1940-03-17;--:--;      8.250
1940-03-18;--:--;      8.340
1940-03-19;--:--;      8.340
1940-03-20;--:--;      8.680
1940-03-21;--:--;      8.900
1940-03-22;--:--;      9.020
1940-03-23;--:--;      9.060
1940-03-24;--:--;      9.270
1940-03-25;--:--;      9.390
1940-03-26;--:--;      9.480
1940-03-27;--:--;      9.390
1940-03-28;--:--;      9.700
1940-03-29;--:--;      9.580
1940-03-30;--:--;      9.890
1940-03-31;--:--;     10.500
1940-04-01;--:--;     12.000
1940-04-02;--:--;     13.900
1940-04-03;--:--;     16.300
1940-04-04;--:--;     20.100
1940-04-05;--:--;     43.300
1940-04-06;--:--;     85.000
1940-04-07;--:--;    139.000
1940-04-08;--:--;    184.000
1940-04-09;--:--;    219.000
1940-04-10;--:--;    254.000
1940-04-11;--:--;    290.000
1940-04-12;--:--;    327.000
1940-04-13;--:--;    346.000
1940-04-14;--:--;    360.000
1940-04-15;--:--;    369.000
1940-04-16;--:--;    385.000
1940-04-17;--:--;    420.000
1940-04-18;--:--;    463.000
1940-04-19;--:--;    500.000
1940-04-20;--:--;    520.000
1940-04-21;--:--;    532.000
1940-04-22;--:--;    532.000
1940-04-23;--:--;    529.000
1940-04-24;--:--;    523.000
1940-04-25;--:--;    514.000
1940-04-26;--:--;    504.000
1940-04-27;--:--;    492.000
1940-04-28;--:--;    476.000
1940-04-29;--:--;    465.000
1940-04-30;--:--;    452.000
1940-05-01;--:--;    432.000
1940-05-02;--:--;    416.000
1940-05-03;--:--;    399.000
1940-05-04;--:--;    374.000
1940-05-05;--:--;    353.000
1940-05-06;--:--;    335.000
1940-05-07;--:--;    317.000
1940-05-08;--:--;    302.000
1940-05-09;--:--;    288.000
1940-05-10;--:--;    273.000
1940-05-11;--:--;    260.000
1940-05-12;--:--;    247.000
1940-05-13;--:--;    238.000
1940-05-14;--:--;    228.000
1940-05-15;--:--;    221.000
1940-05-16;--:--;    213.000
1940-05-17;--:--;    206.000
1940-05-18;--:--;    202.000
1940-05-19;--:--;    196.000
1940-05-20;--:--;    190.000
1940-05-21;--:--;    183.000
1940-05-22;--:--;    177.000
1940-05-23;--:--;    169.000
1940-05-24;--:--;    161.000
1940-05-25;--:--;    154.000
1940-05-26;--:--;    146.000
1940-05-27;--:--;    135.000
1940-05-28;--:--;    120.000
1940-05-29;--:--;    116.000
1940-05-30;--:--;    113.000
1940-05-31;--:--;    110.000
1940-06-01;--:--;    109.000
1940-06-02;--:--;    108.000
1940-06-03;--:--;    105.000
1940-06-04;--:--;    102.000
1940-06-05;--:--;     99.200
1940-06-06;--:--;     94.800
1940-06-07;--:--;     90.900
1940-06-08;--:--;     88.600
1940-06-09;--:--;     84.600
1940-06-10;--:--;     80.600
1940-06-11;--:--;     75.600
1940-06-12;--:--;     68.200
1940-06-13;--:--;     63.600
1940-06-14;--:--;     58.000
1940-06-15;--:--;     55.800
1940-06-16;--:--;     54.700
1940-06-17;--:--;     52.600
1940-06-18;--:--;     51.500
1940-06-19;--:--;     50.400
1940-06-20;--:--;     49.400
1940-06-21;--:--;     48.300
1940-06-22;--:--;     49.900
1940-06-23;--:--;     52.000
1940-06-24;--:--;     53.700
1940-06-25;--:--;     54.700
1940-06-26;--:--;     55.300
1940-06-27;--:--;     53.100
1940-06-28;--:--;     51.000
1940-06-29;--:--;     47.800
1940-06-30;--:--;     44.600
1940-07-01;--:--;     42.000
1940-07-02;--:--;     40.900
1940-07-03;--:--;     39.900
1940-07-04;--:--;     39.900
1940-07-05;--:--;     38.900
1940-07-06;--:--;     38.900
1940-07-07;--:--;     39.400
1940-07-08;--:--;     40.400
1940-07-09;--:--;     38.900
1940-07-10;--:--;     38.400
1940-07-11;--:--;     37.800
1940-07-12;--:--;     37.800
1940-07-13;--:--;     37.800
1940-07-14;--:--;     36.800
1940-07-15;--:--;     35.800
1940-07-16;--:--;     34.900
1940-07-17;--:--;     34.900
1940-07-18;--:--;     33.900
1940-07-19;--:--;     33.000
1940-07-20;--:--;     31.100
1940-07-21;--:--;     32.000
1940-07-22;--:--;     33.900
1940-07-23;--:--;     33.000
1940-07-24;--:--;     33.900
1940-07-25;--:--;     33.900
1940-07-26;--:--;     33.900
1940-07-27;--:--;     33.400
1940-07-28;--:--;     33.000
1940-07-29;--:--;     34.400
1940-07-30;--:--;     35.800
1940-07-31;--:--;     36.300
1940-08-01;--:--;     35.800
1940-08-02;--:--;     35.800
1940-08-03;--:--;     35.800
1940-08-04;--:--;     35.800
1940-08-05;--:--;     35.300
1940-08-06;--:--;     34.900
1940-08-07;--:--;     34.900
1940-08-08;--:--;     33.900
1940-08-09;--:--;     32.500
1940-08-10;--:--;     31.100
1940-08-11;--:--;     30.600
1940-08-12;--:--;     28.300
1940-08-13;--:--;     26.500
1940-08-14;--:--;     26.500
1940-08-15;--:--;     25.600
1940-08-16;--:--;     24.800
1940-08-17;--:--;     23.900
1940-08-18;--:--;     23.500
1940-08-19;--:--;     23.100
1940-08-20;--:--;     22.200
1940-08-21;--:--;     23.100
1940-08-22;--:--;     23.900
1940-08-23;--:--;     24.800
1940-08-24;--:--;     26.500
1940-08-25;--:--;     27.400
1940-08-26;--:--;     27.900
1940-08-27;--:--;     28.300
1940-08-28;--:--;     27.400
1940-08-29;--:--;     27.400
1940-08-30;--:--;     26.500
1940-08-31;--:--;     25.600
1940-09-01;--:--;     24.400
1940-09-02;--:--;     23.100
1940-09-03;--:--;     23.100
1940-09-04;--:--;     22.200
1940-09-05;--:--;     21.500
1940-09-06;--:--;     21.500
1940-09-07;--:--;     20.800
1940-09-08;--:--;     21.200
1940-09-09;--:--;     21.500
1940-09-10;--:--;     22.200
1940-09-11;--:--;     22.200
1940-09-12;--:--;     22.200
1940-09-13;--:--;     22.200
1940-09-14;--:--;     21.500
1940-09-15;--:--;     21.500
1940-09-16;--:--;     21.200
1940-09-17;--:--;     21.200
1940-09-18;--:--;     21.500
1940-09-19;--:--;     21.800
1940-09-20;--:--;     21.800
1940-09-21;--:--;     21.800
1940-09-22;--:--;     21.500
1940-09-23;--:--;     21.500
1940-09-24;--:--;     21.800
1940-09-25;--:--;     22.200
1940-09-26;--:--;     21.500
1940-09-27;--:--;     21.500
1940-09-28;--:--;     20.400
1940-09-29;--:--;     20.400
1940-09-30;--:--;     20.800
1940-10-01;--:--;     20.400
1940-10-02;--:--;     20.100
1940-10-03;--:--;     20.100
1940-10-04;--:--;     20.100
1940-10-05;--:--;     21.500
1940-10-06;--:--;     23.100
1940-10-07;--:--;     21.200
1940-10-08;--:--;     23.500
1940-10-09;--:--;     23.100
1940-10-10;--:--;     23.100
1940-10-11;--:--;     22.200
1940-10-12;--:--;     21.500
1940-10-13;--:--;     21.200
1940-10-14;--:--;     21.200
1940-10-15;--:--;     21.200
1940-10-16;--:--;     20.800
1940-10-17;--:--;     20.800
1940-10-18;--:--;     20.400
1940-10-19;--:--;     20.100
1940-10-20;--:--;     20.400
1940-10-21;--:--;     20.100
1940-10-22;--:--;     20.100
1940-10-23;--:--;     21.500
1940-10-24;--:--;     15.700
1940-10-25;--:--;     12.700
1940-10-26;--:--;     12.800
1940-10-27;--:--;     13.900
1940-10-28;--:--;     14.700
1940-10-29;--:--;     14.400
1940-10-30;--:--;     13.900
1940-10-31;--:--;     13.300
1940-11-01;--:--;     12.800
1940-11-02;--:--;     12.600
1940-11-03;--:--;     12.300
1940-11-04;--:--;     12.500
1940-11-05;--:--;     12.500
1940-11-06;--:--;     11.800
1940-11-07;--:--;     11.600
1940-11-08;--:--;     11.500
1940-11-09;--:--;     11.300
1940-11-10;--:--;     11.500
1940-11-11;--:--;     11.500
1940-11-12;--:--;     11.800
1940-11-13;--:--;     12.200
1940-11-14;--:--;     12.200
1940-11-15;--:--;     11.800
1940-11-16;--:--;     11.500
1940-11-17;--:--;     11.500
1940-11-18;--:--;     11.800
1940-11-19;--:--;     12.200
1940-11-20;--:--;     12.500
1940-11-21;--:--;     12.700
1940-11-22;--:--;     12.500
1940-11-23;--:--;     11.800
1940-11-24;--:--;     11.700
1940-11-25;--:--;     11.500
1940-11-26;--:--;     11.700
1940-11-27;--:--;     11.700
1940-11-28;--:--;     11.900
1940-11-29;--:--;     11.900
1940-11-30;--:--;     12.000
1940-12-01;--:--;     12.000
1940-12-02;--:--;     12.000
1940-12-03;--:--;     12.000
1940-12-04;--:--;     12.000
1940-12-05;--:--;     11.700
1940-12-06;--:--;     11.700
1940-12-07;--:--;     11.700
1940-12-08;--:--;     11.600
1940-12-09;--:--;     11.400
1940-12-10;--:--;     11.600
1940-12-11;--:--;     11.700
1940-12-12;--:--;     11.700
