# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2912602
# River:                 OB'
# Station:               BELOGOR'YE
# Country:               RU
# Latitude (DD):       61.06999969
# Longitude (DD):      68.59999847
# Catchment area (km²):      2690000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2912601
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936-01 - 1994-10
# No. of years:          60
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 21489
# DATA
YYYY-MM-DD;hh:mm; Value
1936-01-01;--:--;   3800.000
1936-01-02;--:--;   3790.000
1936-01-03;--:--;   3740.000
1936-01-04;--:--;   3720.000
1936-01-05;--:--;   3690.000
1936-01-06;--:--;   3650.000
1936-01-07;--:--;   3630.000
1936-01-08;--:--;   3600.000
1936-01-09;--:--;   3580.000
1936-01-10;--:--;   3550.000
1936-01-11;--:--;   3530.000
1936-01-12;--:--;   3500.000
1936-01-13;--:--;   3410.000
1936-01-14;--:--;   3390.000
1936-01-15;--:--;   3360.000
1936-01-16;--:--;   3340.000
1936-01-17;--:--;   3320.000
1936-01-18;--:--;   3290.000
1936-01-19;--:--;   3200.000
1936-01-20;--:--;   3180.000
1936-01-21;--:--;   3150.000
1936-01-22;--:--;   3120.000
1936-01-23;--:--;   3080.000
1936-01-24;--:--;   3040.000
1936-01-25;--:--;   2980.000
1936-01-26;--:--;   2970.000
1936-01-27;--:--;   2950.000
1936-01-28;--:--;   2940.000
1936-01-29;--:--;   2910.000
1936-01-30;--:--;   2890.000
1936-01-31;--:--;   2880.000
1936-02-01;--:--;   2790.000
1936-02-02;--:--;   2780.000
1936-02-03;--:--;   2760.000
1936-02-04;--:--;   2750.000
1936-02-05;--:--;   2730.000
1936-02-06;--:--;   2710.000
1936-02-07;--:--;   2700.000
1936-02-08;--:--;   2690.000
1936-02-09;--:--;   2670.000
1936-02-10;--:--;   2590.000
1936-02-11;--:--;   2570.000
1936-02-12;--:--;   2570.000
1936-02-13;--:--;   2560.000
1936-02-14;--:--;   2540.000
1936-02-15;--:--;   2530.000
1936-02-16;--:--;   2510.000
1936-02-17;--:--;   2510.000
1936-02-18;--:--;   2510.000
1936-02-19;--:--;   2500.000
1936-02-20;--:--;   2480.000
1936-02-21;--:--;   2420.000
1936-02-22;--:--;   2410.000
1936-02-23;--:--;   2400.000
1936-02-24;--:--;   2390.000
1936-02-25;--:--;   2380.000
1936-02-26;--:--;   2370.000
1936-02-27;--:--;   2360.000
1936-02-28;--:--;   2360.000
1936-02-29;--:--;   2300.000
