# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2999910
# River:                 OLENEK
# Station:               7.5KM D/S OF MOUTH OF RIVER PUR
# Country:               RU
# Latitude (DD):       72.12
# Longitude (DD):      123.22
# Catchment area (km²):      198000.0
# Altitude (m ASL):        0.0
# Next downstream station:      -
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1953-01 - 2011-12
# No. of years:          60
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 21549
# DATA
YYYY-MM-DD;hh:mm; Value
1953-01-01;--:--;      4.100
1953-01-02;--:--;      4.010
1953-01-03;--:--;      3.920
1953-01-04;--:--;      3.840
1953-01-05;--:--;      3.750
1953-01-06;--:--;      3.660
1953-01-07;--:--;      3.580
1953-01-08;--:--;      3.490
1953-01-09;--:--;      3.400
1953-01-10;--:--;      3.310
1953-01-11;--:--;      3.230
1953-01-12;--:--;      3.140
1953-01-13;--:--;      3.050
1953-01-14;--:--;      2.970
1953-01-15;--:--;      2.880
1953-01-16;--:--;      2.860
1953-01-17;--:--;      2.840
1953-01-18;--:--;      2.820
1953-01-19;--:--;      2.800
1953-01-20;--:--;      2.780
1953-01-21;--:--;      2.760
1953-01-22;--:--;      2.740
1953-01-23;--:--;      2.720
1953-01-24;--:--;      2.700
1953-01-25;--:--;      2.680
1953-01-26;--:--;      2.660
1953-01-27;--:--;      2.640
1953-01-28;--:--;      2.620
1953-01-29;--:--;      2.490
1953-01-30;--:--;      2.370
1953-01-31;--:--;      2.240
1953-02-01;--:--;      2.120
1953-02-02;--:--;      1.990
1953-02-03;--:--;      1.860
1953-02-04;--:--;      1.740
1953-02-05;--:--;      1.610
1953-02-06;--:--;      1.490
1953-02-07;--:--;      1.360
1953-02-08;--:--;      1.240
1953-02-09;--:--;      1.110
1953-02-10;--:--;      0.980
1953-02-11;--:--;      0.860
1953-02-12;--:--;      0.730
1953-02-13;--:--;      0.610
1953-02-14;--:--;      0.480
1953-02-15;--:--;      0.480
1953-02-16;--:--;      0.480
1953-02-17;--:--;      0.480
1953-02-18;--:--;      0.480
1953-02-19;--:--;      0.480
1953-02-20;--:--;      0.480
1953-02-21;--:--;      0.480
1953-02-22;--:--;      0.480
1953-02-23;--:--;      0.480
1953-02-24;--:--;      0.480
1953-02-25;--:--;      0.480
1953-02-26;--:--;      0.480
1953-02-27;--:--;      0.480
1953-02-28;--:--;      0.480
1953-03-01;--:--;      0.520
1953-03-02;--:--;      0.560
1953-03-03;--:--;      0.600
1953-03-04;--:--;      0.640
