# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              2999920
# River:                 OLENEK
# Station:               SUKHANA
# Country:               RU
# Latitude (DD):       68.62
# Longitude (DD):      118.33
# Catchment area (km²):      127000.0
# Altitude (m ASL):        44.5
# Next downstream station:      2999900
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1940-01 - 1994-12
# No. of years:          56
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 20089
# DATA
YYYY-MM-DD;hh:mm; Value
1940-01-01;--:--;      7.980
1940-01-02;--:--;      7.810
1940-01-03;--:--;      7.630
1940-01-04;--:--;      7.550
1940-01-05;--:--;      7.410
1940-01-06;--:--;      7.190
1940-01-07;--:--;      6.980
1940-01-08;--:--;      6.900
1940-01-09;--:--;      6.900
1940-01-10;--:--;      6.830
1940-01-11;--:--;      6.770
1940-01-12;--:--;      6.770
1940-01-13;--:--;      6.690
1940-01-14;--:--;      6.430
1940-01-15;--:--;      6.190
1940-01-16;--:--;      5.920
1940-01-17;--:--;      5.640
1940-01-18;--:--;      5.460
1940-01-19;--:--;      5.170
1940-01-20;--:--;      5.180
1940-01-21;--:--;      5.180
1940-01-22;--:--;      5.110
1940-01-23;--:--;      4.960
1940-01-24;--:--;      4.960
1940-01-25;--:--;      4.970
1940-01-26;--:--;      4.960
1940-01-27;--:--;      4.950
1940-01-28;--:--;      4.940
1940-01-29;--:--;      4.990
1940-01-30;--:--;      4.900
1940-01-31;--:--;      4.860
1940-02-01;--:--;      4.580
1940-02-02;--:--;      4.090
1940-02-03;--:--;      3.660
1940-02-04;--:--;      3.290
1940-02-05;--:--;      2.850
1940-02-06;--:--;      2.420
1940-02-07;--:--;      1.960
1940-02-08;--:--;      1.980
1940-02-09;--:--;      1.980
1940-02-10;--:--;      1.920
1940-02-11;--:--;      1.920
1940-02-12;--:--;      1.920
1940-02-13;--:--;      1.910
1940-02-14;--:--;      2.050
1940-02-15;--:--;      2.080
1940-02-16;--:--;      2.180
1940-02-17;--:--;      2.210
1940-02-18;--:--;      2.380
1940-02-19;--:--;      2.410
1940-02-20;--:--;      2.480
1940-02-21;--:--;      2.560
1940-02-22;--:--;      2.560
1940-02-23;--:--;      2.660
1940-02-24;--:--;      2.660
1940-02-25;--:--;      2.770
1940-02-26;--:--;      2.410
1940-02-27;--:--;      2.150
1940-02-28;--:--;      1.820
1940-02-29;--:--;      1.540
1940-03-01;--:--;      1.170
1940-03-02;--:--;      1.230
1940-03-03;--:--;      1.390
1940-03-04;--:--;      1.540
1940-03-05;--:--;      1.610
1940-03-06;--:--;      1.690
1940-03-07;--:--;      1.870
1940-03-08;--:--;      1.870
1940-03-09;--:--;      1.820
1940-03-10;--:--;      1.760
1940-03-11;--:--;      1.760
1940-03-12;--:--;      1.760
1940-03-13;--:--;      1.670
1940-03-14;--:--;      1.720
1940-03-15;--:--;      1.720
1940-03-16;--:--;      1.640
1940-03-17;--:--;      1.640
1940-03-18;--:--;      1.640
1940-03-19;--:--;      1.650
1940-03-20;--:--;      1.640
1940-03-21;--:--;      1.640
1940-03-22;--:--;      1.640
1940-03-23;--:--;      1.600
1940-03-24;--:--;      1.600
1940-03-25;--:--;      1.620
1940-03-26;--:--;      1.580
1940-03-27;--:--;      1.580
1940-03-28;--:--;      1.500
1940-03-29;--:--;      1.520
1940-03-30;--:--;      1.520
1940-03-31;--:--;      1.550
1940-04-01;--:--;      1.520
1940-04-02;--:--;      1.520
1940-04-03;--:--;      1.520
1940-04-04;--:--;      1.500
1940-04-05;--:--;      1.500
1940-04-06;--:--;      1.500
1940-04-07;--:--;      1.440
1940-04-08;--:--;      1.330
1940-04-09;--:--;      1.220
1940-04-10;--:--;      1.120
1940-04-11;--:--;      1.090
1940-04-12;--:--;      0.990
1940-04-13;--:--;      0.880
1940-04-14;--:--;      0.870
1940-04-15;--:--;      0.870
1940-04-16;--:--;      0.790
1940-04-17;--:--;      0.790
1940-04-18;--:--;      0.790
1940-04-19;--:--;      0.800
1940-04-20;--:--;      0.720
1940-04-21;--:--;      0.710
1940-04-22;--:--;      0.710
1940-04-23;--:--;      0.650
1940-04-24;--:--;      0.580
1940-04-25;--:--;      0.590
1940-04-26;--:--;      0.580
1940-04-27;--:--;      0.590
1940-04-28;--:--;      0.540
1940-04-29;--:--;      0.540
1940-04-30;--:--;      0.520
1940-05-01;--:--;      0.560
1940-05-02;--:--;      0.640
1940-05-03;--:--;      0.670
1940-05-04;--:--;      0.707
1940-05-05;--:--;      0.730
1940-05-06;--:--;      0.800
1940-05-07;--:--;      0.870
1940-05-08;--:--;      0.920
1940-05-09;--:--;      1.120
1940-05-10;--:--;      1.240
1940-05-11;--:--;      1.360
1940-05-12;--:--;      1.510
1940-05-13;--:--;      1.690
1940-05-14;--:--;      1.900
1940-05-15;--:--;      2.080
1940-05-16;--:--;      2.270
1940-05-17;--:--;      2.460
1940-05-18;--:--;      2.740
1940-05-19;--:--;      2.850
