# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              4103200
# River:                 YUKON RIVER
# Station:               PILOT STATION, AK
# Country:               US
# Latitude (DD):       61.9337
# Longitude (DD):      -162.8829
# Catchment area (km²):      831390.0
# Altitude (m ASL):        6.1
# Next downstream station:      -
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1975-10 - 2018-03
# No. of years:          44
# Last update:           2018-09-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 15520
# DATA
YYYY-MM-DD;hh:mm; Value
1975-10-01;--:--;  11071.869
1975-10-02;--:--;  11071.869
1975-10-03;--:--;  11015.235
1975-10-04;--:--;  10930.285
1975-10-05;--:--;  10788.701
1975-10-06;--:--;  10647.117
1975-10-07;--:--;  10477.216
1975-10-08;--:--;  10477.216
1975-10-09;--:--;   9910.880
1975-10-10;--:--;   9910.880
1975-10-11;--:--;   9910.880
1975-10-12;--:--;   9344.544
1975-10-13;--:--;   9344.544
1975-10-14;--:--;   9344.544
1975-10-15;--:--;   9344.544
1975-10-16;--:--;   8778.208
1975-10-17;--:--;   8778.208
1975-10-18;--:--;   8778.208
1975-10-19;--:--;   8211.872
1975-10-20;--:--;   8211.872
1975-10-21;--:--;   8211.872
1975-10-22;--:--;   7645.536
1975-10-23;--:--;   7645.536
1975-10-24;--:--;   7645.536
1975-10-25;--:--;   7079.200
1975-10-26;--:--;   7079.200
1975-10-27;--:--;   7079.200
1975-10-28;--:--;   7079.200
1975-10-29;--:--;   6512.864
1975-10-30;--:--;   6512.864
1975-10-31;--:--;   6512.864
1975-11-01;--:--;   6512.864
1975-11-02;--:--;   6512.864
1975-11-03;--:--;   5946.528
1975-11-04;--:--;   5946.528
1975-11-05;--:--;   5946.528
1975-11-06;--:--;   5946.528
1975-11-07;--:--;   5946.528
1975-11-08;--:--;   5380.192
1975-11-09;--:--;   5380.192
1975-11-10;--:--;   5380.192
1975-11-11;--:--;   5380.192
1975-11-12;--:--;   4813.856
1975-11-13;--:--;   4813.856
1975-11-14;--:--;   4813.856
1975-11-15;--:--;   4813.856
1975-11-16;--:--;   4813.856
1975-11-17;--:--;   4247.520
1975-11-18;--:--;   4247.520
1975-11-19;--:--;   4247.520
1975-11-20;--:--;   4247.520
1975-11-21;--:--;   4247.520
1975-11-22;--:--;   4247.520
1975-11-23;--:--;   3681.184
1975-11-24;--:--;   3681.184
1975-11-25;--:--;   3681.184
1975-11-26;--:--;   3681.184
1975-11-27;--:--;   3681.184
1975-11-28;--:--;   3681.184
1975-11-29;--:--;   3681.184
1975-11-30;--:--;   3681.184
1975-12-01;--:--;   3681.184
1975-12-02;--:--;   3681.184
1975-12-03;--:--;   3114.848
1975-12-04;--:--;   3114.848
1975-12-05;--:--;   3114.848
1975-12-06;--:--;   3114.848
1975-12-07;--:--;   3114.848
1975-12-08;--:--;   3114.848
1975-12-09;--:--;   2831.680
1975-12-10;--:--;   2831.680
1975-12-11;--:--;   2831.680
1975-12-12;--:--;   2831.680
1975-12-13;--:--;   2661.779
1975-12-14;--:--;   2661.779
1975-12-15;--:--;   2661.779
1975-12-16;--:--;   2491.878
1975-12-17;--:--;   2491.878
1975-12-18;--:--;   2321.978
1975-12-19;--:--;   2321.978
1975-12-20;--:--;   2265.344
1975-12-21;--:--;   2265.344
1975-12-22;--:--;   2265.344
1975-12-23;--:--;   2265.344
1975-12-24;--:--;   2265.344
1975-12-25;--:--;   2265.344
1975-12-26;--:--;   2152.077
1975-12-27;--:--;   2152.077
1975-12-28;--:--;   2152.077
1975-12-29;--:--;   2152.077
1975-12-30;--:--;   2152.077
1975-12-31;--:--;   2152.077
1976-01-01;--:--;   2038.810
1976-01-02;--:--;   2038.810
1976-01-03;--:--;   2038.810
1976-01-04;--:--;   2038.810
1976-01-05;--:--;   2038.810
1976-01-06;--:--;   2038.810
1976-01-07;--:--;   2038.810
1976-01-08;--:--;   2038.810
1976-01-09;--:--;   2038.810
1976-01-10;--:--;   2038.810
1976-01-11;--:--;   1925.542
1976-01-12;--:--;   1925.542
1976-01-13;--:--;   1925.542
1976-01-14;--:--;   1925.542
1976-01-15;--:--;   1925.542
1976-01-16;--:--;   1925.542
1976-01-17;--:--;   1925.542
1976-01-18;--:--;   1925.542
1976-01-19;--:--;   1925.542
1976-01-20;--:--;   1925.542
1976-01-21;--:--;   1812.275
1976-01-22;--:--;   1812.275
1976-01-23;--:--;   1812.275
1976-01-24;--:--;   1812.275
1976-01-25;--:--;   1812.275
1976-01-26;--:--;   1812.275
1976-01-27;--:--;   1812.275
1976-01-28;--:--;   1812.275
1976-01-29;--:--;   1812.275
1976-01-30;--:--;   1812.275
1976-01-31;--:--;   1812.275
1976-02-01;--:--;   1699.008
1976-02-02;--:--;   1699.008
1976-02-03;--:--;   1699.008
1976-02-04;--:--;   1699.008
1976-02-05;--:--;   1699.008
1976-02-06;--:--;   1585.741
1976-02-07;--:--;   1585.741
1976-02-08;--:--;   1585.741
1976-02-09;--:--;   1585.741
1976-02-10;--:--;   1585.741
1976-02-11;--:--;   1585.741
1976-02-12;--:--;   1585.741
1976-02-13;--:--;   1585.741
1976-02-14;--:--;   1585.741
1976-02-15;--:--;   1585.741
1976-02-16;--:--;   1472.474
1976-02-17;--:--;   1472.474
1976-02-18;--:--;   1472.474
1976-02-19;--:--;   1472.474
1976-02-20;--:--;   1472.474
1976-02-21;--:--;   1472.474
1976-02-22;--:--;   1472.474
1976-02-23;--:--;   1472.474
