# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              4113300
# River:                 RED RIVER
# Station:               GRAND FORKS, N.D.
# Country:               US
# Latitude (DD):       47.9275
# Longitude (DD):      -97.0281
# Catchment area (km²):      77959.0
# Altitude (m ASL):        237.44
# Next downstream station:      4113301
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1882-04 - 2017-11
# No. of years:          136
# Last update:           2018-09-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 49524
# DATA
YYYY-MM-DD;hh:mm; Value
1882-04-01;--:--;    747.564
1882-04-02;--:--;    747.564
1882-04-03;--:--;    747.564
1882-04-04;--:--;    747.564
1882-04-05;--:--;    747.564
1882-04-06;--:--;    747.564
1882-04-07;--:--;    747.564
1882-04-08;--:--;    747.564
1882-04-09;--:--;    747.564
1882-04-10;--:--;    747.564
1882-04-11;--:--;    747.564
1882-04-12;--:--;    747.564
1882-04-13;--:--;    747.564
1882-04-14;--:--;    747.564
1882-04-15;--:--;    747.564
1882-04-16;--:--;    747.564
1882-04-17;--:--;    747.564
1882-04-18;--:--;    747.564
1882-04-19;--:--;    747.564
1882-04-20;--:--;    747.564
1882-04-21;--:--;    747.564
1882-04-22;--:--;    747.564
1882-04-23;--:--;    747.564
1882-04-24;--:--;    747.564
1882-04-25;--:--;    747.564
1882-04-26;--:--;    747.564
1882-04-27;--:--;    747.564
1882-04-28;--:--;    747.564
1882-04-29;--:--;    747.564
1882-04-30;--:--;    747.564
1882-05-01;--:--;    393.604
1882-05-02;--:--;    393.604
1882-05-03;--:--;    393.604
1882-05-04;--:--;    393.604
1882-05-05;--:--;    393.604
1882-05-06;--:--;    393.604
1882-05-07;--:--;    393.604
1882-05-08;--:--;    393.604
1882-05-09;--:--;    393.604
1882-05-10;--:--;    393.604
1882-05-11;--:--;    393.604
1882-05-12;--:--;    393.604
1882-05-13;--:--;    393.604
1882-05-14;--:--;    393.604
1882-05-15;--:--;    393.604
1882-05-16;--:--;    393.604
1882-05-17;--:--;    393.604
1882-05-18;--:--;    393.604
1882-05-19;--:--;    393.604
1882-05-20;--:--;    393.604
1882-05-21;--:--;    393.604
1882-05-22;--:--;    393.604
1882-05-23;--:--;    393.604
1882-05-24;--:--;    393.604
1882-05-25;--:--;    393.604
1882-05-26;--:--;    393.604
1882-05-27;--:--;    393.604
1882-05-28;--:--;    393.604
1882-05-29;--:--;    393.604
1882-05-30;--:--;    393.604
1882-05-31;--:--;    393.604
1882-06-01;--:--;    200.483
1882-06-02;--:--;    200.483
1882-06-03;--:--;    200.483
1882-06-04;--:--;    200.483
1882-06-05;--:--;    200.483
1882-06-06;--:--;    200.483
1882-06-07;--:--;    200.483
1882-06-08;--:--;    200.483
1882-06-09;--:--;    200.483
1882-06-10;--:--;    200.483
1882-06-11;--:--;    200.483
1882-06-12;--:--;    200.483
1882-06-13;--:--;    200.483
1882-06-14;--:--;    200.483
1882-06-15;--:--;    200.483
1882-06-16;--:--;    200.483
1882-06-17;--:--;    200.483
1882-06-18;--:--;    200.483
1882-06-19;--:--;    200.483
1882-06-20;--:--;    200.483
1882-06-21;--:--;    200.483
1882-06-22;--:--;    200.483
1882-06-23;--:--;    200.483
1882-06-24;--:--;    200.483
1882-06-25;--:--;    200.483
1882-06-26;--:--;    200.483
1882-06-27;--:--;    200.483
1882-06-28;--:--;    200.483
1882-06-29;--:--;    200.483
1882-06-30;--:--;    200.483
1882-07-01;--:--;    160.273
1882-07-02;--:--;    160.273
1882-07-03;--:--;    160.273
1882-07-04;--:--;    160.273
1882-07-05;--:--;    160.273
1882-07-06;--:--;    160.273
1882-07-07;--:--;    160.273
1882-07-08;--:--;    160.273
1882-07-09;--:--;    160.273
1882-07-10;--:--;    160.273
1882-07-11;--:--;    160.273
1882-07-12;--:--;    160.273
1882-07-13;--:--;    160.273
1882-07-14;--:--;    160.273
1882-07-15;--:--;    160.273
1882-07-16;--:--;    160.273
1882-07-17;--:--;    160.273
1882-07-18;--:--;    160.273
1882-07-19;--:--;    160.273
1882-07-20;--:--;    160.273
1882-07-21;--:--;    160.273
1882-07-22;--:--;    160.273
1882-07-23;--:--;    160.273
1882-07-24;--:--;    160.273
1882-07-25;--:--;    160.273
1882-07-26;--:--;    160.273
1882-07-27;--:--;    160.273
1882-07-28;--:--;    160.273
1882-07-29;--:--;    160.273
1882-07-30;--:--;    160.273
1882-07-31;--:--;    160.273
1882-08-01;--:--;     93.445
1882-08-02;--:--;     93.445
1882-08-03;--:--;     93.445
1882-08-04;--:--;     93.445
1882-08-05;--:--;     93.445
1882-08-06;--:--;     93.445
1882-08-07;--:--;     93.445
1882-08-08;--:--;     93.445
1882-08-09;--:--;     93.445
1882-08-10;--:--;     93.445
1882-08-11;--:--;     93.445
1882-08-12;--:--;     93.445
1882-08-13;--:--;     93.445
1882-08-14;--:--;     93.445
1882-08-15;--:--;     93.445
1882-08-16;--:--;     93.445
1882-08-17;--:--;     93.445
1882-08-18;--:--;     93.445
1882-08-19;--:--;     93.445
1882-08-20;--:--;     93.445
1882-08-21;--:--;     93.445
1882-08-22;--:--;     93.445
1882-08-23;--:--;     93.445
1882-08-24;--:--;     93.445
1882-08-25;--:--;     93.445
1882-08-26;--:--;     93.445
1882-08-27;--:--;     93.445
1882-08-28;--:--;     93.445
1882-08-29;--:--;     93.445
1882-08-30;--:--;     93.445
1882-08-31;--:--;     93.445
1882-09-01;--:--;     61.164
1882-09-02;--:--;     61.164
1882-09-03;--:--;     61.164
1882-09-04;--:--;     61.164
1882-09-05;--:--;     61.164
1882-09-06;--:--;     61.164
1882-09-07;--:--;     61.164
1882-09-08;--:--;     61.164
1882-09-09;--:--;     61.164
1882-09-10;--:--;     61.164
1882-09-11;--:--;     61.164
1882-09-12;--:--;     61.164
1882-09-13;--:--;     61.164
1882-09-14;--:--;     61.164
1882-09-15;--:--;     61.164
1882-09-16;--:--;     61.164
1882-09-17;--:--;     61.164
1882-09-18;--:--;     61.164
1882-09-19;--:--;     61.164
1882-09-20;--:--;     61.164
1882-09-21;--:--;     61.164
1882-09-22;--:--;     61.164
1882-09-23;--:--;     61.164
1882-09-24;--:--;     61.164
1882-09-25;--:--;     61.164
1882-09-26;--:--;     61.164
1882-09-27;--:--;     61.164
1882-09-28;--:--;     61.164
1882-09-29;--:--;     61.164
1882-09-30;--:--;     61.164
1882-10-01;--:--;     61.731
1882-10-02;--:--;     61.731
1882-10-03;--:--;     61.731
1882-10-04;--:--;     61.731
1882-10-05;--:--;     61.731
1882-10-06;--:--;     61.731
1882-10-07;--:--;     61.731
1882-10-08;--:--;     61.731
1882-10-09;--:--;     61.731
1882-10-10;--:--;     61.731
1882-10-11;--:--;     61.731
1882-10-12;--:--;     61.731
1882-10-13;--:--;     61.731
1882-10-14;--:--;     61.731
1882-10-15;--:--;     61.731
1882-10-16;--:--;     61.731
1882-10-17;--:--;     61.731
1882-10-18;--:--;     61.731
1882-10-19;--:--;     61.731
1882-10-20;--:--;     61.731
1882-10-21;--:--;     61.731
1882-10-22;--:--;     61.731
1882-10-23;--:--;     61.731
1882-10-24;--:--;     61.731
1882-10-25;--:--;     61.731
1882-10-26;--:--;     61.731
1882-10-27;--:--;     61.731
1882-10-28;--:--;     61.731
1882-10-29;--:--;     61.731
1882-10-30;--:--;     61.731
1882-10-31;--:--;     61.731
1882-11-01;--:--;     64.845
1882-11-02;--:--;     64.845
1882-11-03;--:--;     64.845
1882-11-04;--:--;     64.845
1882-11-05;--:--;     64.845
1882-11-06;--:--;     64.845
1882-11-07;--:--;     64.845
1882-11-08;--:--;     64.845
1882-11-09;--:--;     64.845
1882-11-10;--:--;     64.845
1882-11-11;--:--;     64.845
1882-11-12;--:--;     64.845
1882-11-13;--:--;     64.845
