# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              4203790
# River:                 SWIFT RIVER
# Station:               NEAR SWIFT RIVER
# Country:               CA
# Latitude (DD):       59.930557
# Longitude (DD):      -131.76778
# Catchment area (km²):      3320.0
# Altitude (m ASL):        -999.00
# Next downstream station:      4203780
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1956-06 - 2016-12
# No. of years:          61
# Last update:           2018-09-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 22101
# DATA
YYYY-MM-DD;hh:mm; Value
1956-06-29;--:--;    121.000
1956-06-30;--:--;    122.000
1956-07-01;--:--;    123.000
1956-07-02;--:--;    127.000
1956-07-03;--:--;    130.000
1956-07-04;--:--;    131.000
1956-07-05;--:--;    131.000
1956-07-06;--:--;    131.000
1956-07-07;--:--;    130.000
1956-07-08;--:--;    130.000
1956-07-09;--:--;    129.000
1956-07-10;--:--;    127.000
1956-07-11;--:--;    123.000
1956-07-12;--:--;    119.000
1956-07-13;--:--;    113.000
1956-07-14;--:--;    106.000
1956-07-15;--:--;     95.400
1956-07-16;--:--;     85.200
1956-07-17;--:--;     74.800
1956-07-18;--:--;     70.800
1956-07-19;--:--;     66.800
1956-07-20;--:--;     66.800
1956-07-21;--:--;     66.800
1956-07-22;--:--;     66.800
1956-07-23;--:--;     66.800
1956-07-24;--:--;     66.800
1956-07-25;--:--;     64.600
1956-07-26;--:--;     62.000
1956-07-27;--:--;     61.200
1956-07-28;--:--;     60.600
1956-07-29;--:--;     59.700
1956-07-30;--:--;     51.300
1956-07-31;--:--;     42.800
1956-08-01;--:--;     42.500
1956-08-02;--:--;     42.200
1956-08-03;--:--;     41.900
1956-08-04;--:--;     41.600
1956-08-05;--:--;     41.300
1956-08-06;--:--;     41.100
1956-08-07;--:--;     40.800
1956-08-08;--:--;     40.500
1956-08-09;--:--;     39.900
1956-08-10;--:--;     39.600
1956-08-11;--:--;     39.400
1956-08-12;--:--;     39.100
1956-08-13;--:--;     38.800
1956-08-14;--:--;     38.500
1956-08-15;--:--;     38.500
1956-08-16;--:--;     38.200
1956-08-17;--:--;     37.900
1956-08-18;--:--;     37.400
1956-08-19;--:--;     36.800
1956-08-20;--:--;     36.000
1956-08-21;--:--;     34.800
1956-08-22;--:--;     34.000
1956-08-23;--:--;     34.000
1956-08-24;--:--;     34.000
1956-08-25;--:--;     34.000
1956-08-26;--:--;     34.000
1956-08-27;--:--;     34.000
1956-08-28;--:--;     34.000
1956-08-29;--:--;     34.000
1956-08-30;--:--;     36.000
1956-08-31;--:--;     38.200
1956-09-01;--:--;     40.200
1956-09-02;--:--;     42.200
1956-09-03;--:--;     44.500
1956-09-04;--:--;     46.400
1956-09-05;--:--;     47.300
1956-09-06;--:--;     47.300
1956-09-07;--:--;     49.300
1956-09-08;--:--;     49.300
1956-09-09;--:--;     49.300
1956-09-10;--:--;     45.300
1956-09-11;--:--;     43.600
1956-09-12;--:--;     43.600
1956-09-13;--:--;     41.900
1956-09-14;--:--;     40.200
1956-09-15;--:--;     38.500
1956-09-16;--:--;     38.500
1956-09-17;--:--;     38.500
1956-09-18;--:--;     38.500
1956-09-19;--:--;     36.800
1956-09-20;--:--;     36.800
1956-09-21;--:--;     34.000
1956-09-22;--:--;     34.000
1956-09-23;--:--;     31.100
1956-09-24;--:--;     31.100
1956-09-25;--:--;     31.100
1956-09-26;--:--;     30.300
1956-09-27;--:--;     30.300
1956-09-28;--:--;     30.000
1956-09-29;--:--;     30.000
1956-09-30;--:--;     30.000
1956-10-01;--:--;     30.000
1956-10-02;--:--;     30.300
1956-10-03;--:--;     30.300
1956-10-04;--:--;     30.300
1956-10-05;--:--;     30.600
1956-10-06;--:--;     30.600
1956-10-07;--:--;     30.000
1956-10-08;--:--;     30.000
1956-10-09;--:--;     30.300
1956-10-10;--:--;     29.400
1956-10-11;--:--;     29.400
1956-10-12;--:--;     29.400
