# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              4208590
# River:                 PARSNIP RIVER
# Station:               ABOVE MISINCHINKA RIVER
# Country:               CA
# Latitude (DD):       55.078056
# Longitude (DD):      -122.90472
# Catchment area (km²):      4900.0
# Altitude (m ASL):        700.0
# Next downstream station:      4208591
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967-10 - 2015-12
# No. of years:          49
# Last update:           2018-09-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 17612
# DATA
YYYY-MM-DD;hh:mm; Value
1967-10-13;--:--;    371.000
1967-10-14;--:--;    323.000
1967-10-15;--:--;    265.000
1967-10-16;--:--;    222.000
1967-10-17;--:--;    192.000
1967-10-18;--:--;    159.000
1967-10-19;--:--;    138.000
1967-10-20;--:--;    124.000
1967-10-21;--:--;    134.000
1967-10-22;--:--;    162.000
1967-10-23;--:--;    154.000
1967-10-24;--:--;    214.000
1967-10-25;--:--;    108.000
1967-10-26;--:--;    100.000
1967-10-27;--:--;     95.700
1967-10-28;--:--;     93.700
1967-10-29;--:--;     93.700
1967-10-30;--:--;     93.700
1967-10-31;--:--;    101.000
1967-11-01;--:--;    126.000
1967-11-02;--:--;    110.000
1967-11-03;--:--;     93.700
1967-11-04;--:--;     85.800
1967-11-05;--:--;     78.200
1967-11-06;--:--;     71.900
1967-11-07;--:--;     75.300
1967-11-08;--:--;     87.800
1967-11-09;--:--;     92.000
1967-11-10;--:--;     92.600
1967-11-11;--:--;     88.900
1967-11-12;--:--;     86.400
1967-11-13;--:--;     81.800
1967-11-14;--:--;     77.000
1967-11-15;--:--;     83.500
1967-11-16;--:--;    100.000
1967-11-17;--:--;    113.000
1967-11-18;--:--;    110.000
1967-11-19;--:--;     98.500
1967-11-20;--:--;     88.900
1967-11-21;--:--;     83.000
1967-11-22;--:--;     92.000
1967-11-23;--:--;    156.000
1967-11-24;--:--;    141.000
1967-11-25;--:--;    108.000
1967-11-26;--:--;     86.400
1967-11-27;--:--;     81.800
1967-11-28;--:--;    140.000
1967-11-29;--:--;     78.700
1967-11-30;--:--;     75.000
1967-12-01;--:--;     72.800
1967-12-02;--:--;     71.400
1967-12-03;--:--;     71.100
1967-12-04;--:--;     70.500
1967-12-05;--:--;     70.200
1967-12-06;--:--;     69.400
1967-12-07;--:--;     68.800
1967-12-08;--:--;     68.000
1967-12-09;--:--;     67.400
1967-12-10;--:--;     66.500
1967-12-11;--:--;     66.000
1967-12-12;--:--;     65.700
1967-12-13;--:--;     65.100
1967-12-14;--:--;     65.100
1967-12-15;--:--;     64.800
1967-12-16;--:--;     64.300
1967-12-17;--:--;     63.100
1967-12-18;--:--;     62.300
1967-12-19;--:--;     61.400
1967-12-20;--:--;     60.600
1967-12-21;--:--;     59.700
1967-12-22;--:--;     58.600
1967-12-23;--:--;     57.500
1967-12-24;--:--;     56.400
1967-12-25;--:--;     55.500
1967-12-26;--:--;     54.400
1967-12-27;--:--;     53.500
1967-12-28;--:--;     52.400
1967-12-29;--:--;     51.800
1967-12-30;--:--;     51.300
1967-12-31;--:--;     51.000
1968-01-01;--:--;     50.400
1968-01-02;--:--;     50.100
1968-01-03;--:--;     49.800
1968-01-04;--:--;     49.800
1968-01-05;--:--;     49.800
1968-01-06;--:--;     50.100
1968-01-07;--:--;     49.600
1968-01-08;--:--;     49.300
1968-01-09;--:--;     49.300
1968-01-10;--:--;     49.000
1968-01-11;--:--;     49.000
1968-01-12;--:--;     48.700
1968-01-13;--:--;     48.100
1968-01-14;--:--;     47.600
1968-01-15;--:--;     47.300
1968-01-16;--:--;     47.000
1968-01-17;--:--;     46.400
1968-01-18;--:--;     46.400
1968-01-19;--:--;     46.200
1968-01-20;--:--;     46.200
1968-01-21;--:--;     46.200
1968-01-22;--:--;     46.400
1968-01-23;--:--;     47.000
1968-01-24;--:--;     47.300
1968-01-25;--:--;     47.300
1968-01-26;--:--;     47.300
1968-01-27;--:--;     47.300
1968-01-28;--:--;     47.600
1968-01-29;--:--;     47.900
1968-01-30;--:--;     48.100
1968-01-31;--:--;     48.100
1968-02-01;--:--;     48.400
1968-02-02;--:--;     48.700
1968-02-03;--:--;     49.000
1968-02-04;--:--;     50.100
1968-02-05;--:--;     51.000
1968-02-06;--:--;     51.500
1968-02-07;--:--;     52.700
1968-02-08;--:--;     53.800
1968-02-09;--:--;     54.400
1968-02-10;--:--;     56.100
1968-02-11;--:--;     56.900
1968-02-12;--:--;     59.500
1968-02-13;--:--;     62.300
1968-02-14;--:--;     63.100
1968-02-15;--:--;     64.600
1968-02-16;--:--;     65.700
1968-02-17;--:--;     67.100
1968-02-18;--:--;     67.400
1968-02-19;--:--;     68.000
1968-02-20;--:--;     68.000
1968-02-21;--:--;     68.200
1968-02-22;--:--;     68.500
1968-02-23;--:--;     68.800
1968-02-24;--:--;     68.800
1968-02-25;--:--;     68.200
1968-02-26;--:--;     69.400
1968-02-27;--:--;     70.500
1968-02-28;--:--;     71.400
1968-02-29;--:--;     72.500
1968-03-01;--:--;     73.900
1968-03-02;--:--;     75.000
1968-03-03;--:--;     76.200
1968-03-04;--:--;     76.500
1968-03-05;--:--;     77.300
1968-03-06;--:--;     78.700
1968-03-07;--:--;     79.300
1968-03-08;--:--;     79.600
1968-03-09;--:--;     80.100
1968-03-10;--:--;     80.100
1968-03-11;--:--;     80.700
1968-03-12;--:--;     80.700
1968-03-13;--:--;     81.000
1968-03-14;--:--;     81.000
1968-03-15;--:--;     81.300
1968-03-16;--:--;     80.700
1968-03-17;--:--;     80.400
1968-03-18;--:--;     79.900
1968-03-19;--:--;     79.300
1968-03-20;--:--;     78.200
1968-03-21;--:--;     77.900
1968-03-22;--:--;     77.000
1968-03-23;--:--;     77.000
1968-03-24;--:--;     76.700
1968-03-25;--:--;     76.700
1968-03-26;--:--;     78.200
1968-03-27;--:--;     78.400
1968-03-28;--:--;     79.000
1968-03-29;--:--;     78.700
1968-03-30;--:--;     78.400
1968-03-31;--:--;     78.400
1968-04-01;--:--;     78.400
1968-04-02;--:--;     78.400
1968-04-03;--:--;     78.200
1968-04-04;--:--;     77.900
1968-04-05;--:--;     77.600
1968-04-06;--:--;     77.000
1968-04-07;--:--;     77.000
1968-04-08;--:--;     77.000
1968-04-09;--:--;     76.700
1968-04-10;--:--;     76.700
1968-04-11;--:--;     76.500
1968-04-12;--:--;     76.500
1968-04-13;--:--;     76.500
1968-04-14;--:--;     76.200
1968-04-15;--:--;     76.200
1968-04-16;--:--;     75.900
1968-04-17;--:--;     75.300
1968-04-18;--:--;     75.900
1968-04-19;--:--;     76.500
1968-04-20;--:--;     77.000
1968-04-21;--:--;     78.700
1968-04-22;--:--;     80.100
1968-04-23;--:--;     81.600
1968-04-24;--:--;     83.000
1968-04-25;--:--;     84.700
1968-04-26;--:--;     92.600
1968-04-27;--:--;    106.000
1968-04-28;--:--;    148.000
1968-04-29;--:--;    277.000
1968-04-30;--:--;    317.000
1968-05-01;--:--;    275.000
1968-05-02;--:--;    236.000
1968-05-03;--:--;    217.000
1968-05-04;--:--;    204.000
1968-05-05;--:--;    200.000
1968-05-06;--:--;    217.000
1968-05-07;--:--;    223.000
1968-05-08;--:--;    255.000
1968-05-09;--:--;    320.000
1968-05-10;--:--;    394.000
1968-05-11;--:--;    439.000
1968-05-12;--:--;    445.000
1968-05-13;--:--;    391.000
1968-05-14;--:--;    348.000
1968-05-15;--:--;    320.000
1968-05-16;--:--;    326.000
1968-05-17;--:--;    419.000
1968-05-18;--:--;    561.000
1968-05-19;--:--;    688.000
1968-05-20;--:--;    787.000
1968-05-21;--:--;    855.000
1968-05-22;--:--;    821.000
1968-05-23;--:--;    745.000
1968-05-24;--:--;    697.000
1968-05-25;--:--;    719.000
1968-05-26;--:--;    688.000
1968-05-27;--:--;    660.000
1968-05-28;--:--;    617.000
1968-05-29;--:--;    637.000
1968-05-30;--:--;    657.000
1968-05-31;--:--;    580.000
1968-06-01;--:--;    569.000
1968-06-02;--:--;    623.000
1968-06-03;--:--;    606.000
1968-06-04;--:--;    580.000
1968-06-05;--:--;    552.000
1968-06-06;--:--;    538.000
1968-06-07;--:--;    552.000
1968-06-08;--:--;    572.000
1968-06-09;--:--;    606.000
1968-06-10;--:--;    682.000
1968-06-11;--:--;    705.000
1968-06-12;--:--;    719.000
1968-06-13;--:--;    722.000
1968-06-14;--:--;    733.000
1968-06-15;--:--;    597.000
1968-06-16;--:--;    538.000
1968-06-17;--:--;    524.000
1968-06-18;--:--;    538.000
1968-06-19;--:--;    583.000
1968-06-20;--:--;    538.000
1968-06-21;--:--;    464.000
1968-06-22;--:--;    416.000
1968-06-23;--:--;    391.000
1968-06-24;--:--;    394.000
1968-06-25;--:--;    419.000
1968-06-26;--:--;    583.000
1968-06-27;--:--;    631.000
1968-06-28;--:--;    634.000
1968-06-29;--:--;    595.000
1968-06-30;--:--;    569.000
1968-07-01;--:--;    626.000
1968-07-02;--:--;    470.000
1968-07-03;--:--;    462.000
1968-07-04;--:--;    450.000
1968-07-05;--:--;    436.000
1968-07-06;--:--;    405.000
1968-07-07;--:--;    354.000
1968-07-08;--:--;    306.000
1968-07-09;--:--;    283.000
1968-07-10;--:--;    300.000
1968-07-11;--:--;    306.000
1968-07-12;--:--;    365.000
1968-07-13;--:--;    428.000
1968-07-14;--:--;    357.000
1968-07-15;--:--;    311.000
1968-07-16;--:--;    306.000
1968-07-17;--:--;    379.000
1968-07-18;--:--;    328.000
1968-07-19;--:--;    282.000
1968-07-20;--:--;    244.000
1968-07-21;--:--;    217.000
1968-07-22;--:--;    202.000
1968-07-23;--:--;    184.000
1968-07-24;--:--;    170.000
1968-07-25;--:--;    155.000
1968-07-26;--:--;    146.000
1968-07-27;--:--;    139.000
1968-07-28;--:--;    131.000
1968-07-29;--:--;    125.000
1968-07-30;--:--;    117.000
1968-07-31;--:--;    110.000
1968-08-01;--:--;    101.000
1968-08-02;--:--;     98.500
1968-08-03;--:--;     96.300
1968-08-04;--:--;     92.000
1968-08-05;--:--;     87.200
1968-08-06;--:--;     90.000
1968-08-07;--:--;     85.800
1968-08-08;--:--;     77.000
1968-08-09;--:--;     71.400
1968-08-10;--:--;     65.100
1968-08-11;--:--;     61.400
1968-08-12;--:--;     60.300
1968-08-13;--:--;     59.700
1968-08-14;--:--;     59.200
1968-08-15;--:--;     57.800
1968-08-16;--:--;     57.800
1968-08-17;--:--;     59.700
1968-08-18;--:--;     59.200
1968-08-19;--:--;     58.300
1968-08-20;--:--;     56.100
1968-08-21;--:--;     53.500
1968-08-22;--:--;     52.400
1968-08-23;--:--;     52.400
1968-08-24;--:--;     54.900
1968-08-25;--:--;     60.900
1968-08-26;--:--;     65.700
1968-08-27;--:--;     64.600
1968-08-28;--:--;     63.100
1968-08-29;--:--;     59.200
1968-08-30;--:--;     54.900
1968-08-31;--:--;     52.400
