# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              4208870
# River:                 ATHABASCA RIVER
# Station:               ATHABASCA
# Country:               CA
# Latitude (DD):       54.722221
# Longitude (DD):      -113.28611
# Catchment area (km²):      74600.0
# Altitude (m ASL):        -999.00
# Next downstream station:      4208730
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1913-05 - 2016-12
# No. of years:          104
# Last update:           2018-09-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 37866
# DATA
YYYY-MM-DD;hh:mm; Value
1913-05-01;--:--;    268.000
1913-05-02;--:--;    251.000
1913-05-03;--:--;    242.000
1913-05-04;--:--;    234.000
1913-05-05;--:--;    225.000
1913-05-06;--:--;    211.000
1913-05-07;--:--;    204.000
1913-05-08;--:--;    197.000
1913-05-09;--:--;    197.000
1913-05-10;--:--;    197.000
1913-05-11;--:--;    197.000
1913-05-12;--:--;    191.000
1913-05-13;--:--;    191.000
1913-05-14;--:--;    242.000
1913-05-15;--:--;    413.000
1913-05-16;--:--;    439.000
1913-05-17;--:--;    490.000
1913-05-18;--:--;    595.000
1913-05-19;--:--;    657.000
1913-05-20;--:--;    671.000
1913-05-21;--:--;    657.000
1913-05-22;--:--;    564.000
1913-05-23;--:--;    518.000
1913-05-24;--:--;    476.000
1913-05-25;--:--;    476.000
1913-05-26;--:--;    464.000
1913-05-27;--:--;    464.000
1913-05-28;--:--;    464.000
1913-05-29;--:--;    464.000
1913-05-30;--:--;    490.000
1913-05-31;--:--;    518.000
1913-06-01;--:--;    547.000
1913-06-02;--:--;    626.000
1913-06-03;--:--;    640.000
1913-06-04;--:--;    657.000
1913-06-05;--:--;    657.000
1913-06-06;--:--;    657.000
1913-06-07;--:--;    838.000
1913-06-08;--:--;    838.000
1913-06-09;--:--;    838.000
1913-06-10;--:--;    753.000
1913-06-11;--:--;    719.000
1913-06-12;--:--;    872.000
1913-06-13;--:--;    929.000
1913-06-14;--:--;   1000.000
1913-06-15;--:--;   1000.000
1913-06-16;--:--;   1150.000
1913-06-17;--:--;   1210.000
1913-06-18;--:--;   1090.000
1913-06-19;--:--;    966.000
1913-06-20;--:--;    872.000
1913-06-21;--:--;    770.000
1913-06-22;--:--;    719.000
1913-06-23;--:--;   1150.000
1913-06-24;--:--;   1530.000
1913-06-25;--:--;   1550.000
1913-06-26;--:--;   1150.000
1913-06-27;--:--;   1020.000
1913-06-28;--:--;   1250.000
1913-06-29;--:--;   1270.000
1913-06-30;--:--;   1210.000
1913-07-01;--:--;   1250.000
1913-07-02;--:--;   1270.000
1913-07-03;--:--;   1290.000
1913-07-04;--:--;   1370.000
1913-07-05;--:--;   1430.000
1913-07-06;--:--;   1670.000
1913-07-07;--:--;   1430.000
1913-07-08;--:--;   1250.000
1913-07-09;--:--;   1110.000
1913-07-10;--:--;   1040.000
1913-07-11;--:--;    872.000
1913-07-12;--:--;    787.000
1913-07-13;--:--;    719.000
1913-07-14;--:--;    872.000
1913-07-15;--:--;    929.000
1913-07-16;--:--;   1080.000
1913-07-17;--:--;   1130.000
1913-07-18;--:--;   1170.000
1913-07-19;--:--;   1210.000
1913-07-20;--:--;    946.000
1913-07-21;--:--;    892.000
1913-07-22;--:--;    838.000
1913-07-23;--:--;    821.000
1913-07-24;--:--;    855.000
1913-07-25;--:--;    892.000
1913-07-26;--:--;    909.000
1913-07-27;--:--;    892.000
1913-07-28;--:--;    872.000
1913-07-29;--:--;    909.000
1913-07-30;--:--;    855.000
1913-07-31;--:--;    804.000
1913-08-01;--:--;    838.000
1913-08-02;--:--;    855.000
1913-08-03;--:--;    753.000
1913-08-04;--:--;    688.000
1913-08-05;--:--;    702.000
1913-08-06;--:--;    640.000
1913-08-07;--:--;    787.000
1913-08-08;--:--;    804.000
1913-08-09;--:--;    770.000
1913-08-10;--:--;    787.000
1913-08-11;--:--;    787.000
1913-08-12;--:--;    838.000
1913-08-13;--:--;    915.000
1913-08-14;--:--;    946.000
1913-08-15;--:--;   1020.000
1913-08-16;--:--;   1150.000
1913-08-17;--:--;   1250.000
1913-08-18;--:--;   1210.000
1913-08-19;--:--;   1110.000
1913-08-20;--:--;   1110.000
1913-08-21;--:--;   1130.000
1913-08-22;--:--;   1170.000
1913-08-23;--:--;   1090.000
1913-08-24;--:--;    946.000
1913-08-25;--:--;    872.000
1913-08-26;--:--;    787.000
1913-08-27;--:--;    753.000
1913-08-28;--:--;    770.000
1913-08-29;--:--;    753.000
1913-08-30;--:--;    702.000
1913-08-31;--:--;    688.000
1913-09-01;--:--;    657.000
1913-09-02;--:--;    626.000
1913-09-03;--:--;    640.000
1913-09-04;--:--;    626.000
1913-09-05;--:--;    595.000
1913-09-06;--:--;    547.000
1913-09-07;--:--;    490.000
1913-09-08;--:--;    490.000
1913-09-09;--:--;    626.000
1913-09-10;--:--;    547.000
1913-09-11;--:--;    490.000
1913-09-12;--:--;    464.000
1913-09-13;--:--;    464.000
1913-09-14;--:--;    476.000
1913-09-15;--:--;    439.000
1913-09-16;--:--;    425.000
1913-09-17;--:--;    425.000
1913-09-18;--:--;    425.000
1913-09-19;--:--;    425.000
1913-09-20;--:--;    413.000
1913-09-21;--:--;    413.000
1913-09-22;--:--;    413.000
1913-09-23;--:--;    413.000
1913-09-24;--:--;    402.000
1913-09-25;--:--;    379.000
1913-09-26;--:--;    368.000
1913-09-27;--:--;    368.000
1913-09-28;--:--;    357.000
1913-09-29;--:--;    345.000
1913-09-30;--:--;    334.000
1913-10-01;--:--;    326.000
1913-10-02;--:--;    314.000
1913-10-03;--:--;    314.000
1913-10-04;--:--;    306.000
1913-10-05;--:--;    294.000
1913-10-06;--:--;    276.000
1913-10-07;--:--;    268.000
1913-10-08;--:--;    268.000
1913-10-09;--:--;    259.000
1913-10-10;--:--;    251.000
1913-10-11;--:--;    242.000
1913-10-12;--:--;    242.000
1913-10-13;--:--;    242.000
1913-10-14;--:--;    242.000
1913-10-15;--:--;    234.000
1913-10-16;--:--;    234.000
1913-10-17;--:--;    242.000
1913-10-18;--:--;    234.000
1913-10-19;--:--;    234.000
1913-10-20;--:--;    234.000
1913-10-21;--:--;    234.000
1913-10-22;--:--;    234.000
1913-10-23;--:--;    234.000
1913-10-24;--:--;    234.000
1913-10-25;--:--;    234.000
1913-10-26;--:--;    234.000
1913-10-27;--:--;    225.000
1913-10-28;--:--;    225.000
1913-10-29;--:--;    234.000
1913-10-30;--:--;    242.000
1913-10-31;--:--;    234.000
1913-11-01;--:--;   -999.000
1913-11-02;--:--;   -999.000
1913-11-03;--:--;   -999.000
