# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              4208880
# River:                 CLEARWATER RIVER
# Station:               DRAPER
# Country:               CA
# Latitude (DD):       56.685276
# Longitude (DD):      -111.25417
# Catchment area (km²):      30800.0
# Altitude (m ASL):        -999.00
# Next downstream station:      4208730
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1930-12 - 2016-12
# No. of years:          87
# Last update:           2018-09-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 31429
# DATA
YYYY-MM-DD;hh:mm; Value
1930-12-15;--:--;     69.400
1930-12-16;--:--;     67.100
1930-12-17;--:--;     64.000
1930-12-18;--:--;     62.600
1930-12-19;--:--;     62.300
1930-12-20;--:--;     62.300
1930-12-21;--:--;     62.300
1930-12-22;--:--;     62.300
1930-12-23;--:--;     62.300
1930-12-24;--:--;     62.300
1930-12-25;--:--;     62.300
1930-12-26;--:--;     62.300
1930-12-27;--:--;     62.300
1930-12-28;--:--;     62.000
1930-12-29;--:--;     60.900
1930-12-30;--:--;     59.500
1930-12-31;--:--;     59.500
1931-01-01;--:--;     59.200
1931-01-02;--:--;     59.200
1931-01-03;--:--;     58.600
1931-01-04;--:--;     57.200
1931-01-05;--:--;     56.900
1931-01-06;--:--;     56.600
1931-01-07;--:--;     56.600
1931-01-08;--:--;     56.900
1931-01-09;--:--;     58.600
1931-01-10;--:--;     58.000
1931-01-11;--:--;     57.500
1931-01-12;--:--;     57.200
1931-01-13;--:--;     57.500
1931-01-14;--:--;     57.500
1931-01-15;--:--;     57.200
1931-01-16;--:--;     56.600
1931-01-17;--:--;     57.200
1931-01-18;--:--;     57.500
1931-01-19;--:--;     57.500
1931-01-20;--:--;     52.400
1931-01-21;--:--;     47.600
1931-01-22;--:--;     47.600
1931-01-23;--:--;     47.900
1931-01-24;--:--;     47.900
1931-01-25;--:--;     48.100
1931-01-26;--:--;     48.100
1931-01-27;--:--;     47.600
1931-01-28;--:--;     46.700
1931-01-29;--:--;     45.900
1931-01-30;--:--;     45.600
1931-01-31;--:--;     45.300
1931-02-01;--:--;     45.300
1931-02-02;--:--;     45.000
1931-02-03;--:--;     44.700
1931-02-04;--:--;     44.200
1931-02-05;--:--;     43.000
1931-02-06;--:--;     43.000
1931-02-07;--:--;     42.800
1931-02-08;--:--;     42.500
1931-02-09;--:--;     42.500
1931-02-10;--:--;     42.500
1931-02-11;--:--;     42.500
1931-02-12;--:--;     42.500
1931-02-13;--:--;     42.500
1931-02-14;--:--;     42.500
1931-02-15;--:--;     42.500
1931-02-16;--:--;     42.200
1931-02-17;--:--;     41.600
1931-02-18;--:--;     40.500
1931-02-19;--:--;     39.900
1931-02-20;--:--;     42.500
1931-02-21;--:--;     42.800
1931-02-22;--:--;     44.200
1931-02-23;--:--;     44.700
