# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              4213552
# River:                 SASKATCHEWAN RIVER
# Station:               BELOW TOBIN LAKE
# Country:               CA
# Latitude (DD):       53.7028
# Longitude (DD):      -103.2972
# Catchment area (km²):      289000.0
# Altitude (m ASL):        -999.00
# Next downstream station:      4213550
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1962-08 - 2016-12
# No. of years:          55
# Last update:           2018-09-07
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 19851
# DATA
YYYY-MM-DD;hh:mm; Value
1962-08-27;--:--;    416.000
1962-08-28;--:--;    413.000
1962-08-29;--:--;    411.000
1962-08-30;--:--;    419.000
1962-08-31;--:--;    408.000
1962-09-01;--:--;    391.000
1962-09-02;--:--;    405.000
1962-09-03;--:--;    419.000
1962-09-04;--:--;    374.000
1962-09-05;--:--;    320.000
1962-09-06;--:--;    337.000
1962-09-07;--:--;    354.000
1962-09-08;--:--;    368.000
1962-09-09;--:--;    368.000
1962-09-10;--:--;    379.000
1962-09-11;--:--;    362.000
1962-09-12;--:--;    365.000
1962-09-13;--:--;    362.000
1962-09-14;--:--;    368.000
1962-09-15;--:--;    334.000
1962-09-16;--:--;    297.000
1962-09-17;--:--;    212.000
1962-09-18;--:--;    283.000
1962-09-19;--:--;    283.000
1962-09-20;--:--;    309.000
1962-09-21;--:--;    331.000
1962-09-22;--:--;    292.000
1962-09-23;--:--;    323.000
1962-09-24;--:--;    227.000
1962-09-25;--:--;    292.000
1962-09-26;--:--;    227.000
1962-09-27;--:--;    232.000
1962-09-28;--:--;    221.000
1962-09-29;--:--;    249.000
1962-09-30;--:--;    133.000
1962-10-01;--:--;     76.500
1962-10-02;--:--;    102.000
1962-10-03;--:--;     53.800
1962-10-04;--:--;     19.800
1962-10-05;--:--;     14.200
1962-10-06;--:--;     14.200
1962-10-07;--:--;     14.200
1962-10-08;--:--;     14.200
1962-10-09;--:--;     14.200
1962-10-10;--:--;     14.200
1962-10-11;--:--;     14.200
1962-10-12;--:--;     14.200
1962-10-13;--:--;     14.200
1962-10-14;--:--;     14.200
1962-10-15;--:--;     14.200
1962-10-16;--:--;     14.200
1962-10-17;--:--;     14.200
1962-10-18;--:--;     14.200
1962-10-19;--:--;     14.200
1962-10-20;--:--;     14.200
1962-10-21;--:--;     14.200
1962-10-22;--:--;     14.200
1962-10-23;--:--;     14.200
1962-10-24;--:--;     14.200
1962-10-25;--:--;     14.200
1962-10-26;--:--;     14.200
1962-10-27;--:--;     14.200
1962-10-28;--:--;     14.200
1962-10-29;--:--;     18.400
1962-10-30;--:--;     14.200
1962-10-31;--:--;     19.800
1962-11-01;--:--;     25.500
1962-11-02;--:--;     34.000
1962-11-03;--:--;     42.500
1962-11-04;--:--;     49.600
1962-11-05;--:--;     56.600
1962-11-06;--:--;     46.700
1962-11-07;--:--;     94.900
1962-11-08;--:--;    129.000
1962-11-09;--:--;    142.000
1962-11-10;--:--;    157.000
1962-11-11;--:--;    172.000
1962-11-12;--:--;    188.000
1962-11-13;--:--;    196.000
1962-11-14;--:--;    200.000
1962-11-15;--:--;    127.000
1962-11-16;--:--;    130.000
1962-11-17;--:--;    111.000
1962-11-18;--:--;    104.000
1962-11-19;--:--;    104.000
1962-11-20;--:--;     99.100
