# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              6731907
# River:                 MALSELVA
# Station:               MALANGSFOSS
# Country:               NO
# Latitude (DD):       69.034927
# Longitude (DD):      18.65834
# Catchment area (km²):      3239.0
# Altitude (m ASL):        26.06
# Next downstream station:      -
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1907-09 - 2014-12
# No. of years:          108
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 39189
# DATA
YYYY-MM-DD;hh:mm; Value
1907-09-16;--:--;    133.021
1907-09-17;--:--;    111.270
1907-09-18;--:--;     93.993
1907-09-19;--:--;     82.143
1907-09-20;--:--;     95.368
1907-09-21;--:--;     89.939
1907-09-22;--:--;     79.636
1907-09-23;--:--;     74.758
1907-09-24;--:--;     72.387
1907-09-25;--:--;     67.778
1907-09-26;--:--;     64.437
1907-09-27;--:--;     60.136
1907-09-28;--:--;     60.136
1907-09-29;--:--;    184.229
1907-09-30;--:--;    164.380
1907-10-01;--:--;    126.990
1907-10-02;--:--;    102.418
1907-10-03;--:--;    105.321
1907-10-04;--:--;    112.788
1907-10-05;--:--;    122.146
1907-10-06;--:--;    122.146
1907-10-07;--:--;    109.765
1907-10-08;--:--;     98.153
1907-10-09;--:--;     88.611
1907-10-10;--:--;     79.636
1907-10-11;--:--;     77.175
1907-10-12;--:--;     74.758
1907-10-13;--:--;     78.400
1907-10-14;--:--;     73.567
1907-10-15;--:--;     67.778
1907-10-16;--:--;     66.653
1907-10-17;--:--;     73.567
1907-10-18;--:--;     75.961
1907-10-19;--:--;     72.387
1907-10-20;--:--;     79.636
1907-10-21;--:--;     93.993
1907-10-22;--:--;     80.884
1907-10-23;--:--;     60.136
1907-10-24;--:--;     61.195
1907-10-25;--:--;     58.051
1907-10-26;--:--;     49.195
1907-10-27;--:--;     43.763
1907-10-28;--:--;     57.024
1907-10-29;--:--;     58.051
1907-10-30;--:--;     57.024
1907-10-31;--:--;     64.437
1907-11-01;--:--;     67.778
1907-11-02;--:--;     55.003
1907-11-03;--:--;     54.009
1907-11-04;--:--;     45.532
1907-11-05;--:--;     43.763
1907-11-06;--:--;     50.137
1907-11-07;--:--;     52.052
1907-11-08;--:--;     56.008
1907-11-09;--:--;     52.052
1907-11-10;--:--;     45.532
1907-11-11;--:--;     42.035
1907-11-12;--:--;     37.891
1907-11-13;--:--;     42.035
1907-11-14;--:--;     38.700
1907-11-15;--:--;     33.997
1907-11-16;--:--;     42.894
1907-11-17;--:--;     45.532
1907-11-18;--:--;     41.186
1907-11-19;--:--;     33.248
1907-11-20;--:--;     30.349
1907-11-21;--:--;     31.059
1907-11-22;--:--;     33.248
1907-11-23;--:--;     31.779
1907-11-24;--:--;     31.779
1907-11-25;--:--;     31.779
1907-11-26;--:--;     31.059
1907-11-27;--:--;     31.059
1907-11-28;--:--;     31.059
1907-11-29;--:--;     30.349
1907-11-30;--:--;     30.349
1907-12-01;--:--;     29.648
1907-12-02;--:--;     29.648
1907-12-03;--:--;     29.648
1907-12-04;--:--;     28.957
1907-12-05;--:--;     28.957
1907-12-06;--:--;     28.957
1907-12-07;--:--;     28.276
1907-12-08;--:--;     28.276
1907-12-09;--:--;     28.276
1907-12-10;--:--;     27.604
1907-12-11;--:--;     27.604
1907-12-12;--:--;     26.941
1907-12-13;--:--;     26.941
1907-12-14;--:--;     26.941
1907-12-15;--:--;     26.288
1907-12-16;--:--;     26.288
1907-12-17;--:--;     26.288
1907-12-18;--:--;     25.644
1907-12-19;--:--;     25.644
1907-12-20;--:--;     25.644
1907-12-21;--:--;     25.009
1907-12-22;--:--;     25.009
1907-12-23;--:--;     25.009
1907-12-24;--:--;     24.384
1907-12-25;--:--;     24.384
1907-12-26;--:--;     24.384
1907-12-27;--:--;     23.791
1907-12-28;--:--;     25.644
1907-12-29;--:--;     29.648
1907-12-30;--:--;     24.384
1907-12-31;--:--;     24.384
1908-01-01;--:--;     25.644
1908-01-02;--:--;     25.009
1908-01-03;--:--;     23.791
1908-01-04;--:--;     23.307
1908-01-05;--:--;     23.307
1908-01-06;--:--;     22.828
1908-01-07;--:--;     23.307
1908-01-08;--:--;     22.828
1908-01-09;--:--;     22.353
1908-01-10;--:--;     22.353
1908-01-11;--:--;     22.353
1908-01-12;--:--;     21.884
1908-01-13;--:--;     21.419
1908-01-14;--:--;     20.959
1908-01-15;--:--;     20.504
1908-01-16;--:--;     20.959
1908-01-17;--:--;     20.959
1908-01-18;--:--;     20.959
1908-01-19;--:--;     20.504
1908-01-20;--:--;     20.504
1908-01-21;--:--;     20.504
1908-01-22;--:--;     20.504
1908-01-23;--:--;     20.959
1908-01-24;--:--;     21.884
1908-01-25;--:--;     21.884
1908-01-26;--:--;     22.353
1908-01-27;--:--;     22.353
1908-01-28;--:--;     21.884
1908-01-29;--:--;     20.959
1908-01-30;--:--;     20.959
1908-01-31;--:--;     21.419
1908-02-01;--:--;     21.419
1908-02-02;--:--;     20.504
1908-02-03;--:--;     20.504
1908-02-04;--:--;     20.504
1908-02-05;--:--;     20.504
1908-02-06;--:--;     20.054
1908-02-07;--:--;     20.054
1908-02-08;--:--;     20.054
1908-02-09;--:--;     20.054
1908-02-10;--:--;     20.054
1908-02-11;--:--;     19.608
1908-02-12;--:--;     19.608
1908-02-13;--:--;     19.608
1908-02-14;--:--;     19.168
1908-02-15;--:--;     19.168
1908-02-16;--:--;     19.168
1908-02-17;--:--;     19.168
1908-02-18;--:--;     19.168
1908-02-19;--:--;     19.168
1908-02-20;--:--;     18.732
1908-02-21;--:--;     19.168
1908-02-22;--:--;     18.732
1908-02-23;--:--;     18.732
1908-02-24;--:--;     19.168
1908-02-25;--:--;     18.732
1908-02-26;--:--;     18.300
1908-02-27;--:--;     18.300
1908-02-28;--:--;     18.300
1908-02-29;--:--;     17.874
1908-03-01;--:--;     17.874
1908-03-02;--:--;     17.453
1908-03-03;--:--;     17.036
1908-03-04;--:--;     17.036
1908-03-05;--:--;     17.036
1908-03-06;--:--;     17.036
1908-03-07;--:--;     16.624
1908-03-08;--:--;     16.624
1908-03-09;--:--;     16.624
1908-03-10;--:--;     16.624
1908-03-11;--:--;     16.624
1908-03-12;--:--;     16.217
1908-03-13;--:--;     15.815
1908-03-14;--:--;     15.815
1908-03-15;--:--;     15.815
1908-03-16;--:--;     15.815
1908-03-17;--:--;     15.815
1908-03-18;--:--;     15.815
1908-03-19;--:--;     15.815
1908-03-20;--:--;     16.217
1908-03-21;--:--;     17.036
1908-03-22;--:--;     16.624
1908-03-23;--:--;     16.624
1908-03-24;--:--;     17.036
1908-03-25;--:--;     16.624
