# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2019-03-18
#
# GRDC-No.:              6971451
# River:                 PONOY
# Station:               KANEVKA
# Country:               RU
# Latitude (DD):       67.133333
# Longitude (DD):      39.666667
# Catchment area (km²):      10200.0
# Altitude (m ASL):        -999.00
# Next downstream station:      6971450
# Remarks:               
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1954-01 - 1992-12
# No. of years:          40
# Last update:           2018-05-28
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 14245
# DATA
YYYY-MM-DD;hh:mm; Value
1954-01-01;--:--;     33.800
1954-01-02;--:--;     33.000
1954-01-03;--:--;     33.000
1954-01-04;--:--;     31.900
1954-01-05;--:--;     31.900
1954-01-06;--:--;     32.200
1954-01-07;--:--;     31.300
1954-01-08;--:--;     31.300
1954-01-09;--:--;     30.400
1954-01-10;--:--;     30.400
1954-01-11;--:--;     30.200
1954-01-12;--:--;     29.900
1954-01-13;--:--;     29.500
1954-01-14;--:--;     29.000
1954-01-15;--:--;     27.300
1954-01-16;--:--;     27.300
1954-01-17;--:--;     26.700
1954-01-18;--:--;     26.500
1954-01-19;--:--;     26.500
1954-01-20;--:--;     26.000
1954-01-21;--:--;     26.400
1954-01-22;--:--;     25.800
1954-01-23;--:--;     25.600
1954-01-24;--:--;     25.200
1954-01-25;--:--;     25.000
1954-01-26;--:--;     25.700
1954-01-27;--:--;     25.700
1954-01-28;--:--;     25.500
1954-01-29;--:--;     25.300
1954-01-30;--:--;     25.300
1954-01-31;--:--;     24.500
1954-02-01;--:--;     24.600
1954-02-02;--:--;     24.200
1954-02-03;--:--;     24.000
1954-02-04;--:--;     24.000
1954-02-05;--:--;     25.100
1954-02-06;--:--;     24.800
1954-02-07;--:--;     24.400
1954-02-08;--:--;     24.400
1954-02-09;--:--;     24.200
1954-02-10;--:--;     24.200
1954-02-11;--:--;     24.000
1954-02-12;--:--;     23.700
1954-02-13;--:--;     23.500
1954-02-14;--:--;     23.500
1954-02-15;--:--;     23.200
1954-02-16;--:--;     23.200
1954-02-17;--:--;     22.700
1954-02-18;--:--;     22.400
1954-02-19;--:--;     22.400
1954-02-20;--:--;     22.100
1954-02-21;--:--;     21.800
1954-02-22;--:--;     21.600
1954-02-23;--:--;     21.600
1954-02-24;--:--;     21.600
1954-02-25;--:--;     21.300
1954-02-26;--:--;     21.000
1954-02-27;--:--;     21.000
1954-02-28;--:--;     20.700
1954-03-01;--:--;     20.500
1954-03-02;--:--;     19.600
1954-03-03;--:--;     19.400
1954-03-04;--:--;     19.400
1954-03-05;--:--;     19.600
1954-03-06;--:--;     19.200
1954-03-07;--:--;     19.100
1954-03-08;--:--;     19.100
1954-03-09;--:--;     18.900
1954-03-10;--:--;     18.900
1954-03-11;--:--;     18.700
1954-03-12;--:--;     18.900
1954-03-13;--:--;     18.900
1954-03-14;--:--;     18.900
1954-03-15;--:--;     18.700
1954-03-16;--:--;     18.700
1954-03-17;--:--;     18.700
1954-03-18;--:--;     18.500
1954-03-19;--:--;     18.500
1954-03-20;--:--;     18.300
1954-03-21;--:--;     18.300
1954-03-22;--:--;     18.300
1954-03-23;--:--;     18.100
1954-03-24;--:--;     18.100
1954-03-25;--:--;     18.100
1954-03-26;--:--;     18.100
1954-03-27;--:--;     17.900
1954-03-28;--:--;     17.900
1954-03-29;--:--;     17.900
1954-03-30;--:--;     17.900
1954-03-31;--:--;     17.900
1954-04-01;--:--;     17.900
1954-04-02;--:--;     17.900
1954-04-03;--:--;     17.900
1954-04-04;--:--;     17.700
1954-04-05;--:--;     17.700
1954-04-06;--:--;     17.700
1954-04-07;--:--;     17.700
1954-04-08;--:--;     17.700
1954-04-09;--:--;     17.700
1954-04-10;--:--;     18.100
1954-04-11;--:--;     17.500
1954-04-12;--:--;     17.500
1954-04-13;--:--;     17.500
1954-04-14;--:--;     17.400
1954-04-15;--:--;     17.400
1954-04-16;--:--;     17.400
1954-04-17;--:--;     17.400
1954-04-18;--:--;     17.400
1954-04-19;--:--;     17.400
1954-04-20;--:--;     17.400
1954-04-21;--:--;     17.500
1954-04-22;--:--;     17.500
1954-04-23;--:--;     17.700
1954-04-24;--:--;     17.700
1954-04-25;--:--;     17.900
1954-04-26;--:--;     17.900
1954-04-27;--:--;     17.500
1954-04-28;--:--;     18.000
1954-04-29;--:--;     18.000
1954-04-30;--:--;     17.800
1954-05-01;--:--;     18.000
1954-05-02;--:--;     18.000
1954-05-03;--:--;     18.300
1954-05-04;--:--;     18.500
1954-05-05;--:--;     18.900
1954-05-06;--:--;     20.400
1954-05-07;--:--;     20.800
1954-05-08;--:--;     24.900
1954-05-09;--:--;     34.600
1954-05-10;--:--;     76.400
1954-05-11;--:--;    109.000
1954-05-12;--:--;    142.000
1954-05-13;--:--;    155.000
1954-05-14;--:--;    156.000
1954-05-15;--:--;    165.000
1954-05-16;--:--;    196.000
1954-05-17;--:--;    242.000
1954-05-18;--:--;    481.000
1954-05-19;--:--;    481.000
1954-05-20;--:--;    494.000
1954-05-21;--:--;    462.000
1954-05-22;--:--;    418.000
1954-05-23;--:--;    391.000
1954-05-24;--:--;    396.000
1954-05-25;--:--;    404.000
1954-05-26;--:--;    393.000
1954-05-27;--:--;    386.000
1954-05-28;--:--;    364.000
1954-05-29;--:--;    349.000
1954-05-30;--:--;    378.000
1954-05-31;--:--;    364.000
1954-06-01;--:--;    330.000
1954-06-02;--:--;    305.000
1954-06-03;--:--;    284.000
1954-06-04;--:--;    267.000
1954-06-05;--:--;    254.000
1954-06-06;--:--;    276.000
1954-06-07;--:--;    315.000
1954-06-08;--:--;    292.000
1954-06-09;--:--;    262.000
1954-06-10;--:--;    248.000
1954-06-11;--:--;    238.000
1954-06-12;--:--;    228.000
1954-06-13;--:--;    222.000
1954-06-14;--:--;    212.000
1954-06-15;--:--;    206.000
1954-06-16;--:--;    195.000
1954-06-17;--:--;    186.000
1954-06-18;--:--;    172.000
1954-06-19;--:--;    172.000
1954-06-20;--:--;    163.000
1954-06-21;--:--;    151.000
1954-06-22;--:--;    142.000
1954-06-23;--:--;    138.000
1954-06-24;--:--;    136.000
1954-06-25;--:--;    134.000
1954-06-26;--:--;    132.000
1954-06-27;--:--;    148.000
1954-06-28;--:--;    192.000
1954-06-29;--:--;    206.000
1954-06-30;--:--;    200.000
1954-07-01;--:--;    188.000
1954-07-02;--:--;    178.000
1954-07-03;--:--;    169.000
1954-07-04;--:--;    160.000
1954-07-05;--:--;    160.000
1954-07-06;--:--;    163.000
1954-07-07;--:--;    157.000
1954-07-08;--:--;    151.000
1954-07-09;--:--;    148.000
1954-07-10;--:--;    150.000
1954-07-11;--:--;    142.000
1954-07-12;--:--;    133.000
1954-07-13;--:--;    126.000
1954-07-14;--:--;    119.000
1954-07-15;--:--;    108.000
1954-07-16;--:--;     99.600
1954-07-17;--:--;     92.600
1954-07-18;--:--;     90.200
1954-07-19;--:--;     90.200
1954-07-20;--:--;     97.300
1954-07-21;--:--;    105.000
1954-07-22;--:--;    116.000
1954-07-23;--:--;    124.000
1954-07-24;--:--;    119.000
1954-07-25;--:--;    116.000
1954-07-26;--:--;    116.000
1954-07-27;--:--;    115.000
1954-07-28;--:--;    110.000
1954-07-29;--:--;    108.000
1954-07-30;--:--;    102.000
1954-07-31;--:--;     96.100
1954-08-01;--:--;     91.400
1954-08-02;--:--;     86.600
1954-08-03;--:--;     83.000
1954-08-04;--:--;     81.200
1954-08-05;--:--;     83.000
1954-08-06;--:--;     90.200
1954-08-07;--:--;     92.600
1954-08-08;--:--;     92.600
1954-08-09;--:--;     89.300
